1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
2 cups water ( or broth )	2 cup water ( or broth )	NUM N;PL N;SG _ CONJ N;SG _
you can make other noises if you prefer , such as a bird cawing or an explosion sound every time a button is pushed .	you can make other noise if you prefer , such as a bird caw or an explosion sound every time a button be push .	2;NOM;PRO FIN;V NFIN;V ADJ N;PL CONJ 2;NOM;PRO FIN;IND;PRS;V _ ADJ ADP DET;INDF N;SG V;V.MSDR CONJ DET;INDF N;SG N;SG DET N;SG DET;INDF N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP _
" it 's warhol .	" it be warhol .	_ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PROPN;SG _
why did you begin to write ?	why do you begin to write ?	CONJ FIN;IND;PST;V 2;NOM;PRO NFIN;V PART NFIN;V _
she handed me a shirt she bought at the stadium and she gave me a big hug .	she hand me a shirt she buy at the stadium and she give me a big hug .	3;FEM;NOM;PRO;SG FIN;IND;PST;V 1;ACC;PRO;SG DET;INDF N;SG 3;FEM;NOM;PRO;SG FIN;IND;PST;V ADP DEF;DET N;SG CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V 1;ACC;PRO;SG DET;INDF ADJ N;SG _
photos released of the scene showed numerous bloodied bodies and various scattered debris .	photo release of the scene show numerous bloody body and various scattered debris .	N;PL PST;V;V.PTCP ADP DEF;DET N;SG FIN;IND;PST;V ADJ PST;V;V.PTCP N;PL CONJ ADJ ADJ N;SG _
paris claims that she was kept at flag land base in clearwater , florida until she was eighteen and then transferred to the freewinds .	paris claim that she be keep at flag land base in clearwater , florida until she be eighteen and then transfer to the freewinds .	PROPN;SG 3;FIN;IND;PRS;SG;V CONJ 3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG PROPN;SG PROPN;SG ADP PROPN;SG _ PROPN;SG CONJ 3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V NUM CONJ ADV PST;V;V.PTCP ADP DEF;DET PROPN;SG _
however , when you get off that aeroplane , if you have n't pre-organised transport , you will have to walk , and it is a long way into town .	however , when you get off that aeroplane , if you have n't pre-organised transport , you will have to walk , and it be a long way into town .	ADV _ CONJ 2;NOM;PRO FIN;IND;PRS;V ADP DET;SG N;SG _ CONJ 2;NOM;PRO FIN;IND;PRS;V NEG;PART PST;V;V.PTCP N;SG _ 2;NOM;PRO FIN;V NFIN;V PART NFIN;V _ CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP N;SG _
first corinthians 9 : 25 ?	first corinthians @card@ : @card@ ?	PROPN;SG PL;PROPN NUM _ NUM _
some ants were infected with beauveria bassiana , a fungus .	some ant be infect with beauveria bassiana , a fungus .	DET N;PL FIN;IND;PST;V PST;V;V.PTCP ADP _ _ _ DET;INDF N;SG _
nasa administrator charles bolden announces where four space shuttle orbiters will be permanently displayed at the conclusion of the space shuttle program during an event commemorating the 30th anniversay of the first shuttle launch on april 12 , 2011 .	nasa administrator charles bolden announce where four space shuttle orbiter will be permanently display at the conclusion of the space shuttle program during an event commemorate the 30th anniversay of the first shuttle launch on april @card@ , @card@ .	PROPN;SG PROPN;SG PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V CONJ NUM N;SG N;SG N;PL FIN;V NFIN;V ADV PST;V;V.PTCP ADP DEF;DET N;SG ADP DEF;DET PROPN;SG N;SG N;SG ADP DET;INDF N;SG V;V.MSDR DEF;DET ADJ N;SG ADP DEF;DET ADJ N;SG N;SG ADP PROPN;SG NUM _ NUM _
south of rockridge , and southeast of temescal lies piedmont avenue , a street extending from broadway near 34th and hawthorne and an area with a group of hospitals on a hill ( pill hill ) up and through a neighborhood bordered on both sides by picturesque hills , houses and trees .	south of rockridge , and southeast of temescal lie piedmont avenue , a street extend from broadway near 34th and hawthorne and an area with a group of hospital on a hill ( pill hill ) up and through a neighborhood border on both side by picturesque hill , house and tree .	N;SG ADP PROPN;SG _ CONJ N;SG ADP PROPN;SG 3;FIN;IND;PRS;SG;V PROPN;SG PROPN;SG _ DET;INDF N;SG V;V.MSDR ADP PROPN;SG ADP ADJ CONJ PROPN;SG CONJ DET;INDF N;SG ADP DET;INDF N;SG ADP N;PL ADP DET;INDF N;SG _ PROPN;SG PROPN;SG _ ADP CONJ ADP DET;INDF N;SG PST;V;V.PTCP ADP DET N;PL ADP ADJ N;PL _ N;PL CONJ N;PL _
it ’s a fundamental part of the joke ;	it be a fundamental part of the joke ;	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP DEF;DET N;SG _
the greek orthodox church estimates that number is closer to 40,000 .	the greek orthodox church estimate that number be close to @card@ .	DEF;DET PROPN;SG PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DET N;SG 3;FIN;IND;PRS;SG;V ADJ;CMPR ADP NUM _
when making a writing system , take a break about every five minutes and come back to it or all your letters will begin to look identical .	when make a write system , take a break about every five minute and come back to it or all your letter will begin to look identical .	CONJ V;V.MSDR DET;INDF V;V.MSDR N;SG _ NFIN;V DET;INDF N;SG ADV DET NUM N;PL CONJ NFIN;V ADP ADP 3;NEUT;NOM;PRO;SG CONJ DET 2;PRO N;PL FIN;V NFIN;V PART NFIN;V ADJ _
" document found on street not secret , say feds " — the canadian press , august 15 , 2008	" document find on street not secret , say fed " — the canadian press , august @card@ , @card@	_ N;SG PST;V;V.PTCP ADP N;SG NEG;PART ADJ _ FIN;IND;PRS;V N;PL _ _ DEF;DET PROPN;SG PROPN;SG _ PROPN;SG NUM _ NUM
we are only doing public domain works , for a number of reasons , partly to keep simplicity in our copyright situation -- public domain means it s as simple as can be .	we be only do public domain work , for a number of reason , partly to keep simplicity in our copyright situation -- public domain mean it be as simple as can be .	1;NOM;PL;PRO FIN;IND;PRS;V ADV V;V.MSDR ADJ N;SG N;PL _ ADP DET;INDF N;SG ADP N;PL _ ADV PART NFIN;V N;SG ADP 1;PL;PRO N;SG N;SG _ ADJ N;SG 3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV ADJ CONJ FIN;V NFIN;V _
1669 , reportedly built for residence purposes of the king 's harem .	@card@ , reportedly build for residence purpose of the king 's harem .	NUM _ ADV PST;V;V.PTCP ADP N;SG N;PL ADP DEF;DET N;SG PART N;SG _
what are your thoughts on the job bob mcdonnell has done as governor of virginia ?	what be your thought on the job bob mcdonnell have do as governor of virginia ?	PRO FIN;IND;PRS;V 2;PRO N;PL ADP DEF;DET N;SG PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP PROPN;SG ADP PROPN;SG _
president obama has an agenda that represents the far left wing of his party .	president obama have an agenda that represent the far leave wing of his party .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG PRO 3;FIN;IND;PRS;SG;V DEF;DET ADV ADJ N;SG ADP 3;MASC;PRO;SG N;SG _
pilgrims at mecca 's grand mosque in 2008 .	pilgrim at mecca 's grand mosque in @card@ .	N;PL ADP PROPN;SG PART PROPN;SG PROPN;SG ADP NUM _
beside these two buses , there is no public transport , but car rental with driver is available .	beside these two bus , there be no public transport , but car rental with driver be available .	ADP DET;PL NUM N;PL _ PRO 3;FIN;IND;PRS;SG;V DET;NEG ADJ N;SG _ CONJ N;SG N;SG ADP N;SG 3;FIN;IND;PRS;SG;V ADJ _
they 're guaranteed to be light and fluffy and perfect for any occasion .	they be guarantee to be light and fluffy and perfect for any occasion .	3;NOM;PL;PRO FIN;IND;PRS;V PST;V;V.PTCP PART NFIN;V ADJ CONJ ADJ CONJ ADJ ADP DET N;SG _
try the " white rice " option if your rice cooker gives you several options .	try the " white rice " option if your rice cooker give you several option .	NFIN;V DEF;DET _ ADJ N;SG _ N;SG CONJ 2;PRO N;SG N;SG 3;FIN;IND;PRS;SG;V 2;ACC;PRO ADJ N;PL _
a ceramic bowl will work best , but plastic works too .	a ceramic bowl will work well , but plastic work too .	DET;INDF ADJ N;SG FIN;V NFIN;V ADV;RL _ CONJ ADJ FIN;IND;PRS;V ADV _
in the immortal words of marilyn monroe , " if you can make a woman laugh , you can make her do anything " ( do n't worry , ladies — the same is true for men ! )	in the immortal word of marilyn monroe , " if you can make a woman laugh , you can make her do anything " ( do n't worry , lady — the same be true for man ! )	ADP DEF;DET ADJ N;PL ADP PROPN;SG PROPN;SG _ _ CONJ 2;NOM;PRO FIN;V NFIN;V DET;INDF N;SG NFIN;V _ 2;NOM;PRO FIN;V NFIN;V 3;ACC;FEM;PRO;SG NFIN;V N;SG _ _ FIN;IND;PRS;V NEG;PART NFIN;V _ N;PL _ DEF;DET ADJ 3;FIN;IND;PRS;SG;V ADJ ADP N;PL _ _
take the 20 seconds to use a couple twist ties on the fasteners to make sure they do n’t come loose .	take the @card@ second to use a couple twist tie on the fastener to make sure they do n't come loose .	NFIN;V DEF;DET NUM N;PL PART NFIN;V DET;INDF N;SG N;SG N;PL ADP DEF;DET N;PL PART NFIN;V ADJ 3;NOM;PL;PRO FIN;IND;PRS;V NEG;PART NFIN;V ADJ _
and it was in a grandmother bar by the waterfront — sipping hot tea with rum and watching over the shoulders of dockworkers playing mah-jongg — that i first heard of the valley of giants .	and it be in a grandmother bar by the waterfront — sip hot tea with rum and watch over the shoulder of dockworker play mah-jongg — that i first hear of the valley of giant .	CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADP DET;INDF N;SG N;SG ADP DEF;DET N;SG _ V;V.MSDR ADJ N;SG ADP N;SG CONJ V;V.MSDR ADP DEF;DET N;PL ADP N;PL V;V.MSDR N;SG _ CONJ 1;NOM;PRO;SG ADV FIN;IND;PST;V ADP DEF;DET N;SG ADP N;PL _
plant the cuttings .	plant the cutting .	NFIN;V DEF;DET N;PL _
i remember one of our ads that i had put in said , " if you think nice girls do n't do s&m , " -- i forgot what the rest of it said --	i remember one of our ad that i have put in say , " if you think nice girl do n't do s&m , " -- i forget what the rest of it say --	1;NOM;PRO;SG FIN;IND;PRS;V NUM ADP 1;PL;PRO N;PL PRO 1;NOM;PRO;SG FIN;IND;PST;V PST;V;V.PTCP ADP FIN;IND;PST;V _ _ CONJ 2;NOM;PRO FIN;IND;PRS;V ADJ N;PL FIN;IND;PRS;V NEG;PART NFIN;V N;SG _ _ _ 1;NOM;PRO;SG FIN;IND;PST;V PRO DEF;DET N;SG ADP 3;ACC;NEUT;PRO;SG FIN;IND;PST;V _
from canada , the tourist card is normally provided on the flight .	from canada , the tourist card be normally provide on the flight .	ADP PROPN;SG _ DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP DEF;DET N;SG _
you know about rotating your tires , do n't you ?	you know about rotate your tire , do n't you ?	2;NOM;PRO FIN;IND;PRS;V CONJ V;V.MSDR 2;PRO N;PL _ FIN;IND;PRS;V NEG;PART 2;NOM;PRO _
lots of jokes rehash the same ground and sometimes they retell a story countless other jokes have told .	lot of joke rehash the same ground and sometimes they retell a story countless other joke have tell .	N;PL ADP N;PL FIN;IND;PRS;V DEF;DET ADJ N;SG CONJ ADV 3;NOM;PL;PRO FIN;IND;PRS;V DET;INDF N;SG ADJ ADJ N;PL FIN;IND;PRS;V PST;V;V.PTCP _
fluff with a fork and serve .	fluff with a fork and serve .	NFIN;V ADP DET;INDF N;SG CONJ NFIN;V _
ie 's various versions accounted for 70 percent of the market in 2009 ; this has dropped to approximately 56 percent today .	ie 's various version account for @card@ percent of the market in @card@ ; this have drop to approximately @card@ percent today .	PROPN;SG PART ADJ N;PL FIN;IND;PST;V ADP NUM N;SG ADP DEF;DET N;SG ADP NUM _ PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP ADV NUM N;SG N;SG _
the city was renamed to litzmannstadt , and piotrkowska street was called adolf-hitler-strasse .	the city be rename to litzmannstadt , and piotrkowska street be call adolf-hitler-strasse .	DEF;DET N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG _ CONJ PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP PROPN;SG _
wikinews interviews israeli mathematician and writer aner shalev	wikinews interview israeli mathematician and writer aner shalev	N;SG 3;FIN;IND;PRS;SG;V ADJ N;SG CONJ N;SG PROPN;SG PROPN;SG
many people choose to leave out the green , which is lime if you 're using original skittles , and purple , which is grape in the original style , as they can create a weird taste combination or a less than appealing color for the final product .	many people choose to leave out the green , which be lime if you be use original skittle , and purple , which be grape in the original style , as they can create a weird taste combination or a less than appealing color for the final product .	ADJ N;PL FIN;IND;PRS;V PART NFIN;V ADP DEF;DET N;SG _ PRO 3;FIN;IND;PRS;SG;V ADJ CONJ 2;NOM;PRO FIN;IND;PRS;V PRS;V;V.PTCP ADJ PL;PROPN _ CONJ N;SG _ PRO 3;FIN;IND;PRS;SG;V N;SG ADP DEF;DET ADJ N;SG _ CONJ 3;NOM;PL;PRO FIN;V NFIN;V DET;INDF ADJ N;SG N;SG CONJ DET;INDF ADJ;CMPR ADP ADJ N;SG ADP DEF;DET ADJ N;SG _
fort lee is a small town but is piled high with apartment buildings .	fort lee be a small town but be pile high with apartment building .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG CONJ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADJ ADP N;SG N;PL _
another theme higuchi repeated was the ambition and cruelty of the meiji middle class .	another theme higuchi repeat be the ambition and cruelty of the meiji middle class .	DET N;SG PROPN;SG FIN;IND;PST;V 3;FIN;IND;PST;SG;V DEF;DET N;SG CONJ N;SG ADP DEF;DET PROPN;SG ADJ N;SG _
historic fire station in księży młyn area	historic fire station in księży młyn area	ADJ N;SG N;SG ADP PROPN;SG PROPN;SG N;SG
remember that there is a nine-hour difference between sochi and new york , and a 12-hour difference between sochi and the us west coast .	remember that there be a nine-hour difference between sochi and new york , and a 12-hour difference between sochi and the us west coast .	NFIN;V CONJ PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG N;SG ADP PROPN;SG CONJ PROPN;SG PROPN;SG _ CONJ DET;INDF N;SG N;SG ADP PROPN;SG CONJ DEF;DET PROPN;SG PROPN;SG PROPN;SG _
braised meat .	braised meat .	ADJ N;SG _
that 's about it .	that be about it .	PRO;SG 3;FIN;IND;PRS;SG;V ADV 3;NEUT;NOM;PRO;SG _
you will find elegant hotels , restaurants and malls in the northern part of the city .	you will find elegant hotel , restaurant and mall in the northern part of the city .	2;NOM;PRO FIN;V NFIN;V ADJ N;PL _ N;PL CONJ N;PL ADP DEF;DET ADJ N;SG ADP DEF;DET N;SG _
the most popular lodging is actually camping on the beaches .	the most popular lodging be actually camp on the beach .	DEF;DET ADV ADJ N;SG 3;FIN;IND;PRS;SG;V ADV PRS;V;V.PTCP ADP DEF;DET N;PL _
saturday , january 31 , 2009	saturday , january @card@ , @card@	PROPN;SG _ PROPN;SG NUM _ NUM
rathke also asked the governments of south east asia not to turn away boats of people seeking asylum .	rathke also ask the government of south east asia not to turn away boat of people seek asylum .	PROPN;SG ADV FIN;IND;PST;V DEF;DET N;PL ADP PROPN;SG PROPN;SG PROPN;SG NEG;PART PART NFIN;V ADP N;PL ADP N;PL V;V.MSDR N;SG _
method two to the rescue !	method two to the rescue !	N;SG NUM ADP DEF;DET N;SG _
vava'u has a tropical climate with average temperatures up to 29 oc in january and down to 24 oc in june .	vava'u have a tropical climate with average temperature up to @card@ ºc in january and down to @card@ ºc in june .	_ 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG CONJ ADJ N;PL ADV ADP NUM N;SG ADP PROPN;SG CONJ ADV ADP NUM N;SG ADP PROPN;SG _
so that ’s a good memory .	so that be a good memory .	ADV PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _
the escola do cérebro is a platform that integrates seven digital games into a database .	the escola do cérebro be a platform that integrate seven digital game into a database .	DEF;DET PROPN;SG PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG PRO 3;FIN;IND;PRS;SG;V NUM ADJ N;PL ADP DET;INDF N;SG _
his initiation took place on april 17 , 1789 , at holland lodge no. 8 , f&am , which the grand lodge of new york f&am had chartered in 1787 .	his initiation take place on april @card@ , @card@ , at holland lodge no. 8 , f&am , which the grand lodge of new york f&am have charter in @card@ .	3;MASC;PRO;SG N;SG FIN;IND;PST;V N;SG ADP PROPN;SG NUM _ NUM _ ADP PROPN;SG PROPN;SG N;SG NUM _ PROPN;SG _ PRO DEF;DET PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG PROPN;SG FIN;IND;PST;V PST;V;V.PTCP ADP NUM _
she is no-nonsense .	she be no-nonsense .	3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _
it has seen a period of decline between the 1960s and the more recent past .	it have see a period of decline between the 1960s and the more recent past .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;INDF N;SG ADP N;SG ADP DEF;DET N;PL CONJ DEF;DET ADV ADJ N;SG _
wait for the pan to cool down .	wait for the pan to cool down .	NFIN;V CONJ DEF;DET N;SG PART NFIN;V ADP _
or renata might be sleeping in her car .	or renata might be sleep in her car .	CONJ PROPN;SG FIN;V NFIN;V PRS;V;V.PTCP ADP 3;FEM;PRO;SG N;SG _
once fully rooted , they are extremely drought resistant .	once fully root , they be extremely drought resistant .	ADV ADV PST;V;V.PTCP _ 3;NOM;PL;PRO FIN;IND;PRS;V ADV N;SG ADJ _
the curious traveler can venture to take a bus southwards along broadway , and come to jack london square .	the curious traveler can venture to take a bus southward along broadway , and come to jack london square .	DEF;DET ADJ N;SG FIN;V NFIN;V PART NFIN;V DET;INDF N;SG ADV ADP PROPN;SG _ CONJ NFIN;V ADP PROPN;SG PROPN;SG PROPN;SG _
an example would be ' ant ' for and or ' es ' or even ' loo ' for the word ' and ' .	an example would be ' ant ' for and or ' es ' or even ' loo ' for the word ' and ' .	DET;INDF N;SG FIN;V NFIN;V _ _ _ ADP CONJ CONJ _ _ _ CONJ ADV _ _ _ ADP DEF;DET N;SG _ CONJ _ _
place a cotton ball under or near your garbage can to deter mice from getting into it .	place a cotton ball under or near your garbage can to deter mouse from get into it .	NFIN;V DET;INDF N;SG N;SG ADP CONJ ADP 2;PRO N;SG N;SG PART NFIN;V N;PL CONJ V;V.MSDR ADP 3;NEUT;NOM;PRO;SG _
montalvo has been assisted by former members of scientology , including musician tiziano lugli and actor jason beghe .	montalvo have be assist by former member of scientology , include musician tiziano lugli and actor jason beghe .	PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP ADJ N;PL ADP PROPN;SG _ V;V.MSDR N;SG PROPN;SG PROPN;SG CONJ N;SG PROPN;SG PROPN;SG _
