ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
nei det var lite det har vore fisk året rundt skjønner du # drifta stort sett .	nei det vere lite det ha vere fisk år rundt skjønne du # drifte stor sjå $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PRS;V V;V.PTCP INDF;MASC;N;SG DEF;N;NEUT;SG ADP FIN;IND;PRS;V 2;HUM;NOM;PRO;SG _ FIN;IND;PST;V ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG _
ja .	ja $.	INTJ _
ja ja mm .	ja ja mm $.	INTJ INTJ INTJ _
så vi ikkje budd så mange plassar .	så vi ikkje bu så mange plass $.	CONJ 1;HUM;NOM;PL;PRO NEG;PART V;V.PTCP ADV ADJ;PL INDF;MASC;N;PL _
å nei .	å nei $.	INTJ INTJ _
ja vel # kvar de drifta hen da ?	ja vel # kvar de drifte hen da $?	INTJ ADV _ ADV 2;HUM;NOM;PL;PRO FIN;IND;PST;V ADP ADV _
den høgre sida på .	den høgre side på $.	DET;FEM;SG ADJ;DEF;SG DEF;FEM;N;SG ADP _
men e # em # så måtte du gjere hovedreint i generatoren kvar månad ?	men e # em # så måtte du gjere hovedrein i generator kvar månad $?	CONJ _ _ _ _ ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG NFIN;V INDF;N;NEUT ADP DEF;MASC;N;SG DET;MASC;SG INDF;MASC;N;SG _
under krigen så var det mange slags opplevelsar veit du .	under krig så vere det mange slags opplevelse vite du $.	ADP DEF;MASC;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;PL MASC;N INDF;MASC;N;PL FIN;IND;PRS;V 2;HUM;NOM;PRO;SG _
da køyrde eg til byen og reiste tidleg om morgonen .	da køyre eg til by og reise tidleg om morgon $.	ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADP DEF;MASC;N;SG CONJ FIN;IND;PST;V ADJ;INDF;NEUT;SG ADP DEF;MASC;N;SG _
hm .	hm $.	INTJ _
ja .	ja $.	INTJ _
fjord- og vårsildfiske det .	fjord- og vårsildfiske det $.	_ CONJ INDF;N;NEUT;SG 3;NEUT;PRO;SG _
nei det er eit ord der altså som frå hammerfest men eg kan ikkje komme på .	nei det vere ein ord der altså som frå hammerfest men eg kunne ikkje komme på $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V DET;NEUT;SG INDF;N;NEUT;SG ADV ADV ADP ADP PROPN CONJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART NFIN;V ADP _
på lundby der var det jo veldig tungvint for der var det jo e .	på lundby der vere det jo veldig tungvinn for der vere det jo e $.	ADP PROPN ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV _ _
ja .	ja $.	INTJ _
men dei var ein gong som e # da blei trefte dei # da var ved den store svenskegrana oppå .	men dei vere ein gong som e # da bli treffe dei # da vere ved den stor svenskegran oppå $.	CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V DET;MASC;SG INDF;MASC;N;SG PRO _ _ ADV FIN;IND;PST;V FIN;IND;PST;V 3;HUM;NOM;PL;PRO _ ADV FIN;IND;PST;V ADP DET;FEM;SG ADJ;DEF;SG DEF;FEM;N;SG ADP _
m .	m $.	INTJ _
ja # og køyrde mjølka ut i byen igjen .	ja # og køyre mjølk ut i by igjen $.	INTJ _ CONJ FIN;IND;PST;V DEF;FEM;N;SG ADP ADP DEF;MASC;N;SG ADV _
ja .	ja $.	INTJ _
å da stod det gjerne fullt utanfor her e når eg rygga ut byen om morgonen å .	å da stå det gjerne full utanfor her e når eg rygge ut by om morgon å $.	INTJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV ADJ;INDF;NEUT;SG ADP ADV _ CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP DEF;MASC;N;SG ADP DEF;MASC;N;SG INTJ _
m6 ja .	m6 ja $.	PROPN INTJ _
dieselolje .	dieselolje $.	FEM;INDF;N;SG _
vestervågen vi kallar det .	vestervågen vi kalle det $.	PROPN 1;HUM;NOM;PL;PRO FIN;IND;PRS;V 3;NEUT;PRO;SG _
å så når vi .	å så når vi $.	INTJ ADV CONJ 1;HUM;NOM;PL;PRO _
og reiste heim med # eit steinlass .	og reise heim med # ein steinlass $.	CONJ FIN;IND;PST;V ADP ADP _ DET;NEUT;SG INDF;N;NEUT;SG _
så sopa vi rein bilane # sette inn krakkar og køyrde # leste dei fulle av folk .	så sope vi rein bil # sette inn krakk og køyre # lesse dei full av folk $.	ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADJ;INDF;SG DEF;MASC;N;PL _ NFIN;V ADP INDF;MASC;N;PL CONJ FIN;IND;PST;V _ FIN;IND;PST;V 3;ACC;HUM;PL;PRO ADJ;PL ADP INDF;N;NEUT;PL _
vi spør først når dette her begynte for alvor og kva slags bil du hadde å køyre med .	vi spørje først når dette her begynne for alvor og kva slags bil du ha å køyre med $.	1;HUM;NOM;PL;PRO FIN;IND;PRS;V ADV CONJ 3;NEUT;NOM;PRO;SG ADV FIN;IND;PST;V ADP INDF;N;NEUT;PL CONJ DET MASC;N INDF;MASC;N;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V ADP _
ja begge dei to åra .	ja begge dei to år $.	INTJ DET;PL DET;PL NUM;PL DEF;N;NEUT;PL _
er det nokre spesielle program i fjernsynet du du e sy- ?	vere det nokon spesiell program i fjernsyn du du e sy- $?	FIN;IND;PRS;V 3;NEUT;PRO;SG DET;PL ADJ;PL INDF;N;NEUT;PL ADP DEF;N;NEUT;SG 2;HUM;NOM;PRO;SG 2;HUM;NOM;PRO;SG _ _ _
å to kroner # ifrå e # ifrå oslo og hit til hærland .	å to krone # ifrå e # ifrå oslo og hit til hærland $.	INTJ NUM;PL FEM;INDF;N;PL _ ADP _ _ ADP PROPN CONJ ADV ADP PROPN _
å ress- reiste bortover bondegardane og kjøpte dyr .	å ress- reise bortover bondegard og kjøpe dyr $.	INTJ _ FIN;IND;PST;V ADP DEF;MASC;N;PL CONJ FIN;IND;PST;V INDF;N;NEUT;PL _
eg ville ee .	eg vilje ee $.	1;HUM;NOM;PRO;SG FIN;IND;PST;V _ _
ja .	ja $.	INTJ _
nei .	nei $.	INTJ _
ja det var billig det gitt # femti øre og ei krone av kvar og sånn .	ja det vere billig det gitt # femti øre og ein krone av kvar og sånn $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG ADV _ NUM;PL INDF;N;NEUT;PL CONJ DET;FEM;SG FEM;INDF;N;SG ADP DET;MASC;SG ADV ADV _
å eg køyrde ein masse gris før # eg begynte # når eg var # på hærland og så ha- dreiv med desse bilane å dei greiene så .	å eg køyre ein masse gris før # eg begynne # når eg vere # på hærland og så ha- drive med desse bil å dei greie så $.	INTJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V DET;MASC;SG ADJ;INDF;SG INDF;MASC;N;SG CONJ _ 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ ADP PROPN CONJ ADV _ FIN;IND;PST;V ADP DET;PL DEF;MASC;N;PL INTJ DET;PL DEF;FEM;N;PL ADV _
mm .	mm $.	INTJ _
dei berga seg også # fekk ikkje skramme på seg # eingong .	dei berge seg også # få ikkje skramme på seg # eingong $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V ACC;PRO;REFL ADV _ FIN;IND;PST;V NEG;PART FEM;INDF;N;SG ADP ACC;PRO;REFL _ PART _
nei .	nei $.	INTJ _
korleis e låg nota baki ?	korleis e ligge not baki $?	ADV _ FIN;IND;PST;V DEF;FEM;N;SG ADP _
.	$.	_
for storsilda den e gjekk nå eit stykke opp i sjøen den .	for storsild den e gå nå ein stykke opp i sjø den $.	CONJ DEF;FEM;N;SG 3;NOM;PRO;SG _ FIN;IND;PST;V ADV DET;NEUT;SG INDF;N;NEUT;SG ADP ADP DEF;MASC;N;SG 3;NOM;PRO;SG _
e rekkverk er det visst og ein kjetting og eit anker # det har dei fått opp # i trålen .	e rekkverk vere det viss og ein kjetting og ein anker # det ha dei få opp # i trål $.	_ INDF;N;NEUT;PL FIN;IND;PRS;V 3;NEUT;PRO;SG ADJ;INDF;NEUT;SG CONJ DET;MASC;SG INDF;MASC;N;SG CONJ DET;NEUT;SG INDF;N;NEUT;SG _ 3;NEUT;PRO;SG FIN;IND;PRS;V 3;HUM;NOM;PL;PRO V;V.PTCP ADP _ ADP DEF;MASC;N;SG _
og folk kunne jo .	og folk kunne jo $.	CONJ INDF;N;NEUT;PL FIN;IND;PST;V ADV _
% det var det var jo absolutt nå var det jo heilt noko anna nå # med dieselen i dag enn det var den tid .	% det vere det vere jo absolutt nå vere det jo heil nokon annan nå # med diesel i dag enn det vere den tid $.	N 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADV ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV ADJ;INDF;NEUT;SG DET;NEUT;SG DET;INDF;NEUT;SG ADV _ ADP DEF;MASC;N;SG ADP INDF;MASC;N;SG CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;FEM;SG FEM;INDF;N;SG _
jaså .	jaså $.	ADV _
ja .	ja $.	INTJ _
så det var vel mest på eige initiativ kanskje at ein gjorde det ?	så det vere vel mykje på eigen initiativ kanskje at ein gjere det $?	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;RL ADP DET;INDF;NEUT;SG INDF;N;NEUT;SG ADV CONJ HUM;NOM;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG _
under krigen med e # s- dieselolje .	under krig med e # s- dieselolje $.	ADP DEF;MASC;N;SG ADP _ _ _ FEM;INDF;N;SG _
ja så kom vi hit og vi # for å seie det på den måten vi # misforstod ikkje riktig klar over at .	ja så komme vi hit og vi # for å seie det på den måte vi # misforstå ikkje riktig klar over at $.	INTJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADV CONJ 1;HUM;NOM;PL;PRO _ ADP PART NFIN;V 3;NEUT;PRO;SG ADP DET;MASC;SG DEF;MASC;N;SG 1;HUM;NOM;PL;PRO _ FIN;IND;PST;V NEG;PART ADJ;INDF;NEUT;SG ADJ;INDF;SG ADP CONJ _
det kan nå vere dagsnytt og så når eg fekk sjå gro harlem brundtland .	det kunne nå vere dagsnytt og så når eg få sjå gro harlem brundtland $.	3;NEUT;PRO;SG FIN;IND;PRS;V ADV NFIN;V PROPN CONJ ADV CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V PROPN PROPN PROPN _
i nittenhundreog- ja det kan du seie nittentreogtretti om vinteren i mars månad da var det fleire båtar # som var på havet .	i nittenhundreog- ja det kunne du seie nittentreogtretti om vinter i mars månad da vere det mange båt # som vere på hav $.	ADP _ INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG NFIN;V NUM;PL ADP DEF;MASC;N;SG ADP PROPN INDF;MASC;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADJ INDF;MASC;N;PL _ PRO FIN;IND;PST;V ADP DEF;N;NEUT;SG _
ja kvifor det da ?	ja kvifor det da $?	INTJ ADV 3;NEUT;PRO;SG ADV _
den største levverans- leverandøren der måtte vel vere han m8 vel .	den stor levverans- leverandør der måtte vel vere han m8 vel $.	DET;FEM;SG ADJ;DEF;RL _ DEF;MASC;N;SG ADV FIN;IND;PST;V ADV NFIN;V 3;ACC;MASC;PRO;SG PROPN ADV _
det finst i sikkert frå båtsfjord .	det finnast i sikker frå båtsfjord $.	3;NEUT;PRO;SG FIN;IND;PRS;V ADP ADJ;INDF;NEUT;SG ADP PROPN _
så kjøpte eg ein # fedderjarl og da bygde vi over # vind og som buss .	så kjøpe eg ein # fedderjarl og da bygge vi over # vind og som buss $.	ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG DET;MASC;SG _ PROPN CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP _ INDF;MASC;N;SG CONJ ADP INDF;MASC;N;SG _
dei hadde ruter til byen alle tre .	dei ha rute til by all tre $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V FEM;INDF;N;PL ADP DEF;MASC;N;SG DET;PL NUM;PL _
eg kan forklare det dei messom e .	eg kunne forklare det dei messom e $.	1;HUM;NOM;PRO;SG FIN;IND;PRS;V NFIN;V 3;NEUT;PRO;SG 3;HUM;NOM;PL;PRO ADV _ _
det vart ma- dei var på snurpefiske med rodoryar i mangfaldige år .	det bli ma- dei vere på snurpefiske med rodory i mangfaldig år $.	3;NEUT;PRO;SG FIN;IND;PST;V _ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP INDF;N;NEUT;PL ADP INDF;MASC;N;PL ADP ADJ;PL INDF;N;NEUT;PL _
da slutta eg .	da slutte eg $.	ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG _
ja ## ja # ja .	ja ## ja # ja $.	INTJ _ INTJ _ INTJ _
synest eg eg hugsar etter eg var unge .	synast eg eg hugse etter eg vere unge $.	FIN;IND;PRS;V 1;HUM;NOM;PRO;SG 1;HUM;NOM;PRO;SG FIN;IND;PRS;V CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG _
så det je- ve- så eg greidde meg nokså lenge men eg greidde meg ikkje heilt ut krigen # eg måtte sette på .	så det je- ve- så eg greidde eg nokså lenge men eg greie eg ikkje heil ut krig # eg måtte sette på $.	CONJ 3;NEUT;PRO;SG _ _ CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V 1;ACC;HUM;PRO;SG ADV ADV CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V 1;ACC;HUM;PRO;SG NEG;PART ADJ;INDF;NEUT;SG ADP DEF;MASC;N;SG _ 1;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V ADP _
men den båten som eg hadde som hadde blitt skada på den gongen # den båten # den hadde ein annan mann som dreiv den båten før meg i ein tre fire fem år .	men den båt som eg ha som ha bli skade på den gong # den båt # den ha ein annan mann som drive den båt før eg i ein tre fire fem år $.	CONJ DET;MASC;SG DEF;MASC;N;SG PRO 1;HUM;NOM;PRO;SG FIN;IND;PST;V PRO FIN;IND;PST;V V;V.PTCP V;V.PTCP ADP DET;MASC;SG DEF;MASC;N;SG _ DET;MASC;SG DEF;MASC;N;SG _ 3;NOM;PRO;SG FIN;IND;PST;V DET;MASC;SG DET;INDF;MASC;SG INDF;MASC;N;SG PRO FIN;IND;PST;V DET;MASC;SG DEF;MASC;N;SG ADP 1;ACC;HUM;PRO;SG ADP DET;MASC;SG NUM;PL NUM;PL NUM;PL INDF;N;NEUT;PL _
dei tok ikkje mjølka di da ?	dei ta ikkje mjølk din da $?	3;HUM;NOM;PL;PRO FIN;IND;PST;V NEG;PART DEF;FEM;N;SG FEM;PRO;SG ADV _
ja så det første men ... .	ja så det første men … $.	INTJ CONJ DET;NEUT;SG ADJ;INDF;NEUT;SG CONJ _ _
ja .	ja $.	INTJ _
men det var veldig interessant å køyre # interessant og interessant det var jo både farleg og interessant .	men det vere veldig interessant å køyre # interessant og interessant det vere jo både farleg og interessant $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG PART NFIN;V _ ADJ;INDF;NEUT;SG CONJ ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PST;V ADV CONJ ADJ;INDF;NEUT;SG CONJ ADJ;INDF;NEUT;SG _
da bygde eg her # da køyrde eg # bestandig # mjølka inn .	da bygge eg her # da køyre eg # bestandig # mjølk inn $.	ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADV _ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG _ ADJ;INDF;NEUT;SG _ DEF;FEM;N;SG ADP _
ja .	ja $.	INTJ _
baggetorp .	baggetorp $.	PROPN _
og da måtte vi samanslutte # og begynte da med bussar .	og da måtte vi samanslutte # og begynne da med buss $.	CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO NFIN;V _ CONJ ADJ;PL ADV ADP INDF;MASC;N;PL _
ja .	ja $.	INTJ _
og det au var gørmykje i fe- i forhold til det som ein kunne kunne føre- før # men e .	og det au vere gørmykje i fe- i forhold til det som ein kunne kunne føre- før # men e $.	CONJ 3;NEUT;PRO;SG ADV FIN;IND;PST;V ADJ;INDF;NEUT ADP _ ADP INDF;N;NEUT;PL ADP 3;NEUT;PRO;SG PRO HUM;NOM;PRO;SG FIN;IND;PST;V FIN;IND;PST;V _ ADP _ CONJ _ _
ja det er synd det der .	ja det vere synd det der $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V FEM;INDF;N;SG 3;NEUT;PRO;SG ADJ _
ja dei e # det blei slutt med mjølketransporten og .	ja dei e # det bli slute med mjølketransport og $.	INTJ 3;HUM;NOM;PL;PRO _ _ 3;NEUT;PRO;SG FIN;IND;PST;V V;V.PTCP ADP DEF;MASC;N;SG CONJ _
slik at når kom under båten og så sånn heldt seg så # den gjekk på begge sidene av oss og skaut ut e djupvassbomber og forskjellige ting og så kvar gong så var det som båten hoppa i vêret .	slik at når komme under båt og så sånn halde seg så # den gå på begge side av vi og skyte ut e djupvassbombe og forskjellig ting og så kvar gong så vere det som båt hoppe i vêr $.	ADV CONJ CONJ FIN;IND;PST;V ADP DEF;MASC;N;SG CONJ ADV ADV FIN;IND;PST;V ACC;PRO;REFL CONJ _ 3;NOM;PRO;SG FIN;IND;PST;V ADP DET;PL DEF;FEM;N;PL ADP 1;ACC;HUM;PL;PRO CONJ FIN;IND;PST;V ADP _ FEM;INDF;N;PL CONJ ADJ;PL INDF;MASC;N;PL CONJ ADV DET;MASC;SG INDF;MASC;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG PRO DEF;MASC;N;SG FIN;IND;PST;V ADP DEF;N;NEUT;SG _
ja da .	ja da $.	INTJ ADV _
ja .	ja $.	INTJ _
og det gjekk bra .	og det gå bra $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _
du # hugsar du noko som heitte jerusalemgutane ?	du # hugse du noko som heite jerusalemgutane $?	2;HUM;NOM;PRO;SG _ FIN;IND;PRS;V 2;HUM;NOM;PRO;SG 3;ACC;NEUT;PRO;SG PRO FIN;IND;PST;V PROPN _
ei opning der så var det tannhjul # eller hakar rundt .	ein opning der så vere det tannhjul # eller hake rundt $.	DET;FEM;SG FEM;INDF;N;SG ADV ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;N;NEUT;PL _ CONJ INDF;MASC;N;PL ADP _
og e reiste til byen og sjlu- # snudde ved ringnes # med mjølkelasset mitt .	og e reise til by og sjlu- # snu ved ringnes # med mjølkelass min $.	CONJ _ FIN;IND;PST;V ADP DEF;MASC;N;SG CONJ _ _ FIN;IND;PST;V ADP PROPN _ ADP DEF;N;NEUT;SG NEUT;PRO;SG _
under krigen .	under krig $.	ADP DEF;MASC;N;SG _
ja .	ja $.	INTJ _
det vart veldig billig veit du # eg hadde # dei # seksti øre spannet .	det bli veldig billig vite du # eg ha # dei # seksti øre spann $.	3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG _ 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ DET;PL _ NUM;PL INDF;N;NEUT;PL DEF;N;NEUT;SG _
kan eg begynne nå .	kunne eg begynne nå $.	FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NFIN;V ADV _
« ja nå må du komme i nå må du komme i ettermiddag eg # ja kom nå # du skal få smake # e fiskekake eg har steikt og held på å steike fiskekaker få med nokre fiskekaker » eg hugsar det .	« ja nå måtte du komme i nå måtte du komme i ettermiddag eg # ja komme nå # du skulle få smake # e fiskekake eg ha steike og halde på å steike fiskekake få med nokon fiskekake » eg hugse det $.	_ INTJ ADV FIN;IND;PRS;V 2;HUM;NOM;PRO;SG NFIN;V ADP ADV FIN;IND;PRS;V 2;HUM;NOM;PRO;SG NFIN;V ADP INDF;MASC;N;SG 1;HUM;NOM;PRO;SG _ INTJ FIN;IND;PST;V ADV _ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V NFIN;V NFIN;V _ _ FEM;INDF;N;SG 1;HUM;NOM;PRO;SG FIN;IND;PRS;V V;V.PTCP CONJ FIN;IND;PRS;V CONJ PART NFIN;V FEM;INDF;N;PL NFIN;V ADP DET;PL FEM;INDF;N;PL _ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V 3;NEUT;PRO;SG _
den fy- fyll # den med så eg hadde .	den fy- fyll # den med så eg ha $.	3;NOM;PRO;SG _ INDF;N;NEUT;PL _ 3;NOM;PRO;SG ADP ADV 1;HUM;NOM;PRO;SG FIN;IND;PST;V _
.	$.	_
ja # ja ja men dette gjekk fint det .	ja # ja ja men dette gå fin det $.	INTJ _ INTJ INTJ CONJ 3;NEUT;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG _
nei også ein tredje som person han blei # momentant drepen # med ein gong .	nei også ein tredje som person han bli # momentan drepe # med ein gong $.	INTJ ADV DET;MASC;SG ADJ;INDF;SG PRO INDF;MASC;N;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V _ ADJ;INDF;NEUT;SG ADJ;INDF;SG _ ADP DET;MASC;SG INDF;MASC;N;SG _
mot som det han er i dag .	mot som det han vere i dag $.	ADP PRO 3;NEUT;PRO;SG 3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADP INDF;MASC;N;SG _
å det var e det var noko forferdeleg trafikk .	å det vere e det vere nokon forferdeleg trafikk $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V _ 3;NEUT;PRO;SG FIN;IND;PST;V DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;MASC;N;SG _
ja du kunne ikkje køyre så fort ?	ja du kunne ikkje køyre så fort $?	INTJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V NEG;PART NFIN;V ADV ADJ;INDF;NEUT;SG _
det var altså eit flyangrep det ?	det vere altså ein flyangrep det $?	3;NEUT;PRO;SG FIN;IND;PST;V ADV DET;NEUT;SG INDF;N;NEUT;SG 3;NEUT;PRO;SG _
vasdø kunne vel ein del sjølv om dei ikkje var var # e direkte vadsøfolk på ein måte .	vasdø kunne vel ein del sjølv om dei ikkje vere vere # e direkte vadsøfolk på ein måte $.	PROPN FIN;IND;PST;V ADV DET;MASC;SG INDF;MASC;N;SG ADV CONJ 3;HUM;NOM;PL;PRO NEG;PART FIN;IND;PST;V FIN;IND;PST;V _ _ ADJ;INDF;NEUT;SG INDF;N;NEUT;PL ADP DET;MASC;SG INDF;MASC;N;SG _
og om vinteren så var det enda dårlegare med fiske innmed land # men da var det hovudsak på banken .	og om vinter så vere det enda dårleg med fiske innmed land # men da vere det hovudsak på bank $.	CONJ ADP DEF;MASC;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV ADJ ADP INDF;N;NEUT;SG ADP INDF;N;NEUT;SG _ CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG FEM;INDF;N;SG ADP DEF;MASC;N;SG _
ja .	ja $.	INTJ _
skumma mjølk og ost hadde eg med og s… .	skumme mjølk og ost ha eg med og _ $.	ADJ;INDF;SG FEM;INDF;N;SG CONJ INDF;MASC;N;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADP CONJ _ _
dei kom frå vardø ja .	dei komme frå vardø ja $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP PROPN INTJ _
mm .	mm $.	INTJ _
skal eg seie .	skulle eg seie $.	FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NFIN;V _
på den kortaste distansen det trur eg dei bruker hestar i dag au .	på den kort distanse det tru eg dei bruke hest i dag au $.	ADP DET;MASC;SG ADJ;DEF;RL DEF;MASC;N;SG 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG 3;HUM;NOM;PL;PRO FIN;IND;PRS;V INDF;MASC;N;PL ADP INDF;MASC;N;SG ADV _
ja .	ja $.	INTJ _
utor mjølkekummen .	utor mjølkekum $.	ADP DEF;MASC;N;SG _
og den e # kom det # e kom dei med fyll # tankvogn og fylte på .	og den e # komme det # e komme dei med fyll # tankvogn og fyle på $.	CONJ 3;NOM;PRO;SG _ _ FIN;IND;PST;V 3;NEUT;PRO;SG _ _ FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADP INDF;N;NEUT;PL _ FEM;INDF;N;SG CONJ FIN;IND;PST;V ADP _
gjekk skauleies e # ned til haugen og nedover der så tok eg dei på igjen og så reiste vi vidare .	gå skauleies e # ned til haugen og nedover der så ta eg dei på igjen og så reise vi vid $.	FIN;IND;PST;V ADV _ _ ADP ADP PROPN CONJ ADP ADV ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG 3;HUM;NOM;PL;PRO ADP ADV CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADJ _
og så når det da dø- var komme plenty sild inni den der kvitelen .	og så når det da dø- vere komme plenty sild inni den der kvitel $.	CONJ ADV CONJ 3;NEUT;PRO;SG ADV _ FIN;IND;PST;V ADJ;INDF;NEUT;SG ADV FEM;INDF;N;SG ADP 3;ACC;PRO;SG ADV DEF;MASC;N;SG _
køyrde bøndene mjølka dit med hest ?	køyre bonde mjølk dit med hest $?	FIN;IND;PST;V DEF;MASC;N;PL DEF;FEM;N;SG ADV ADP INDF;MASC;N;SG _
så dei kom frå vardø dei ?	så dei komme frå vardø dei $?	CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP PROPN 3;ACC;HUM;PL;PRO _
ja .	ja $.	INTJ _
seks roarar # og så var der # ein baki # og gjerne # to baki .	seks roar # og så vere der # ein baki # og gjerne # to baki $.	NUM;PL INDF;MASC;N;PL _ CONJ ADV FIN;IND;PST;V ADV _ HUM;NOM;PRO;SG ADP _ CONJ ADV _ NUM;PL ADP _
mjølkekummen ned på lundeby og .	mjølkekum ned på lundeby og $.	DEF;MASC;N;SG ADP ADP PROPN CONJ _
eg har det vore fiskar for det meste .	eg ha det vere fisk for det mykje $.	1;HUM;NOM;PRO;SG FIN;IND;PRS;V 3;NEUT;PRO;SG V;V.PTCP INDF;MASC;N;PL ADP DET;NEUT;SG ADJ;DEF;RL _
ja eg er ikkje så sikker på det # nei .	ja eg vere ikkje så sikker på det # nei $.	INTJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART ADV ADJ;INDF;SG ADP 3;NEUT;PRO;SG _ INTJ _
kor kva tid slutta du å fiske ?	kor kva tid slutte du å fiske $?	ADV DET FEM;INDF;N;SG FIN;IND;PST;V 2;HUM;NOM;PRO;SG PART NFIN;V _
som gjekk i gatene .	som gå i gate $.	PRO FIN;IND;PST;V ADP DEF;FEM;N;PL _
ja til begynne med ?	ja til begynne med $?	INTJ ADP NFIN;V ADP _
men grinigardane dei e # dei e leverte # ikkje i fram .	men grinigardane dei e # dei e levere # ikkje i fram $.	CONJ PROPN 3;HUM;NOM;PL;PRO _ _ 3;HUM;NOM;PL;PRO _ FIN;IND;PST;V _ NEG;PART ADP PROPN _
mm .	mm $.	INTJ _
