в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
отстаем , ребята !!!	отставать , ребята !!!	1;ACT;FIN;IND;IPFV;PL;PRS;V _ ANIM;N;NEUT;NOM;PL _
зверюга !	зверюга !	ANIM;MASC;N;NOM;SG _
@xxxxxx @xxxxxx а жирик такой подлетает на перехватчике и пизд@ савченке ))))))	@xxxxxx @xxxxxx а жирик такой подлетать на перехватчик и пизда савченко ))))))	_ _ CONJ ANIM;MASC;NOM;PROPN;SG DET;MASC;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ESS;FEM;INAN;N;SG CONJ ACC;FEM;INAN;N;SG ANIM;DAT;FEM;PROPN;SG _
я это делаю крупными кубиками .	я это делать крупный кубик .	1;NOM;PRO;SG ACC;INAN;NEUT;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INS;PL INAN;INS;MASC;N;PL _
комплектация :	комплектация :	FEM;INAN;N;NOM;SG _
вас же не смущает , когда в одной газете на разных полосах размещены материалы диаметрально противоположной направленности	вы же не смущать , когда в один газета на разный полоса разместить материал диаметрально противоположный направленность	2;ACC;PL;PRO PART NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ ADP ESS;FEM;NUM ESS;FEM;INAN;N;SG ADP ADJ;ESS;PL ESS;FEM;INAN;N;PL PASS;PFV;PL;PST;V;V.PTCP INAN;MASC;N;NOM;PL ADV ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG
– проводим исследования , чтобы узнать , есть ли более хорошие или более дешёвые дохлые лошади ;	– проводить исследование , чтобы узнать , быть ли более хороший или более дешевый дохлый лошадь ;	_ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;N;NEUT;PL _ COND;CONJ ACT;NFIN;PFV;V _ 3;ACT;FIN;IND;IPFV;PL;PRS;V PART ADV;CMPR ADJ;NOM;PL CONJ ADV;CMPR ADJ;NOM;PL ADJ;NOM;PL ANIM;FEM;N;NOM;PL _
жаркова и ресина хер отмоешь	жарков и ресин хер отмыть	ACC;ANIM;MASC;PROPN;SG CONJ ACC;ANIM;MASC;PROPN;SG ADV 2;ACT;FIN;IND;IPFV;PRS;SG;V
— о , всё просто отлично .	— о , всё просто отличный .	_ INTJ _ INAN;NEUT;NOM;PRO;SG PART ADJ;NEUT;SG _
местные члены нода пикетируют встречу михаила касьянова со сторонниками .	местный член нод пикетировать встреча михаил касьянов со сторонник .	ADJ;NOM;PL ANIM;MASC;N;NOM;PL ANIM;GEN;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;FEM;INAN;N;SG ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG ADP ANIM;INS;MASC;N;PL _
смотрите же скорее !	смотреть же скорее !	2;ACT;FIN;IMP;IPFV;PL;V PART ADV;CMPR _
@xxxxxx @xxxxxx @xxxxxx теперь есть кому изложить экономическую политику партии	@xxxxxx @xxxxxx @xxxxxx теперь быть кто изложить экономический политика партия	_ _ _ ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ANIM;DAT;MASC;PRO;SG ACT;NFIN;PFV;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;SG
и пусть всё то , что кажется так сложно , решается красиво и легко !	и пусть весь то , что казаться так сложный , решаться красиво и легко !	CONJ PART DET;NEUT;NOM;SG INAN;NEUT;NOM;PRO;SG _ INAN;NEUT;NOM;PRO;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADV ADJ;NEUT;SG _ 3;FIN;IND;IPFV;MID;PRS;SG;V ADV CONJ ADV _
увижу гаснущие зрачки , темнеющие листки ...	увидеть гаснуть зрачок , темнеть листок …	1;ACT;FIN;FUT;IND;PFV;SG;V ACC;ACT;INAN;IPFV;PL;PRS;V;V.PTCP ACC;INAN;MASC;N;PL _ ACC;ACT;INAN;IPFV;PL;PRS;V;V.PTCP ACC;INAN;MASC;N;PL _
я же привыкла давать не поверхностные оценки .	я же привыкнуть давать не поверхностный оценка .	1;NOM;PRO;SG PART ACT;FEM;FIN;IND;PFV;PST;SG;V ACT;IPFV;NFIN;V NEG;PART ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _
доставка призов бесплатна в любую точку мира .	доставка приз бесплатный в любой точка мир .	FEM;INAN;N;NOM;SG GEN;INAN;MASC;N;PL ADJ;FEM;SG ADP ACC;DET;FEM;SG ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG _
шоу рассчитано на 40 - 50 минут .	шоу рассчитать на 40 - 50 минута .	INAN;N;NEUT;NOM;SG NEUT;PASS;PFV;PST;SG;V;V.PTCP ADP NUM _ NUM FEM;GEN;INAN;N;PL _
эта пропитка идёт для торта негр в пене .	этот пропитка идти для торт негр в пена .	DET;FEM;NOM;SG FEM;INAN;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP GEN;INAN;MASC;N;SG ANIM;MASC;N;NOM;SG ADP ESS;FEM;INAN;N;SG _
1 . препараты , расширяющие бронхи ( бронхолитики )	1 . препарат , расширять бронх ( бронхолитик )	NUM _ INAN;MASC;N;NOM;PL _ ACT;IPFV;NOM;PL;PRS;V;V.PTCP ACC;INAN;MASC;N;PL _ INAN;MASC;N;NOM;PL _
( если смотреть на этот зверинец , можно подумать , что евреям в сов армии автоматически давали звание полковника .... )))) .	( если смотреть на этот зверинец , можно подумать , что еврей в советский армия автоматически давать звание полковник .... )))) .	_ CONJ ACT;IPFV;NFIN;V ADP ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG _ V ACT;NFIN;PFV;V _ CONJ ANIM;DAT;MASC;N;PL ADP ADJ ESS;FEM;INAN;N;SG ADV ACT;FIN;IND;IPFV;PL;PST;V ACC;INAN;N;NEUT;SG ANIM;GEN;MASC;N;SG _ _ _
умирает ребёнок .	умирать ребенок .	3;ACT;FIN;IND;IPFV;PRS;SG;V ANIM;MASC;N;NOM;SG _
всё - бесплатно !	всё - бесплатно !	INAN;NEUT;NOM;PRO;SG _ ADV _
об этом говорил @xxxxxx о кро и у него получилось !	об это говорить @xxxxxx о кро и у он получиться !	ADP ESS;INAN;NEUT;PRO;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V _ ADP ESS;INAN;NEUT;PROPN;SG CONJ ADP 3;GEN;MASC;PRO;SG FIN;IND;MID;NEUT;PFV;PST;SG;V _
google знает что ты делал прошлым летом	google знать что ты делать прошлый лето	PROPN 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;NEUT;PRO;SG 2;NOM;PRO;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V ADJ;INS;NEUT;SG INAN;INS;N;NEUT;SG
вот в такой компании провел вечернюю прогулку @	вот в такой компания провести вечерний прогулка @	PART ADP DET;ESS;FEM;SG ESS;FEM;INAN;N;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
мож поэтому .	мож поэтому .	PART ADV _
замутил сегодня тикеты в прагу из ржешова .	замутить сегодня тикет в прага из ржешов .	ACT;FIN;IND;MASC;PFV;PST;SG;V ADV ACC;INAN;MASC;N;PL ADP ACC;FEM;INAN;PROPN;SG ADP GEN;INAN;MASC;PROPN;SG _
и даже баронова .	и даже баронова .	CONJ PART ANIM;FEM;NOM;PROPN;SG _
— ну ладно .	— ну ладно .	_ PART ADV _
нам предатели россии ненужны во власти .	мы предатель россия ненужный во власть .	1;DAT;PL;PRO ANIM;MASC;N;NOM;PL FEM;GEN;INAN;PROPN;SG ADJ;PL ADP ESS;FEM;INAN;N;SG _
магистериум мой , кто тебя щедрей ?!	магистериум мой , кто ты щедрый ?!	INAN;MASC;N;NOM;SG DET;MASC;NOM;SG _ ANIM;MASC;NOM;PRO;SG 2;ACC;PRO;SG ADJ;CMPR _
депутат лдпр , которого не пустили в " европейский " , объяснил причину конфликта с охранниками : максим шингаркин написал заявление в ...	депутат лдпр , который не пустить в " европейский " , объяснить причина конфликт с охранник : максим шингаркин написать заявление в ...	ANIM;MASC;N;NOM;SG FEM;GEN;INAN;PROPN;SG _ GEN;PRO NEG;PART ACT;FIN;IND;PFV;PL;PST;V ADP _ ACC;ADJ;INAN;MASC;SG _ _ ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG ADP ANIM;INS;MASC;N;PL _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;N;NEUT;SG ADP _
поголовье коров , после сокращения в два раза , с 20 млн. голов , до 8 млн. голов , практически не прирастает .	поголовье корова , после сокращение в два раз , с 20 миллион голова , до 8 миллион голова , практически не прирастать .	INAN;N;NEUT;NOM;SG ANIM;FEM;GEN;N;PL _ ADP GEN;INAN;N;NEUT;SG ADP ACC;INAN;MASC;NUM GEN;INAN;MASC;N;SG _ ADP NUM GEN;INAN;MASC;N;PL FEM;GEN;INAN;N;PL _ ADP NUM GEN;INAN;MASC;N;PL FEM;GEN;INAN;N;PL _ ADV NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V _
перебирал семейную аптечку .	перебирать семейный аптечка .	ACT;FIN;IND;IPFV;MASC;PST;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
ингредиенты :	ингредиент :	INAN;MASC;N;NOM;PL _
приятного вам аппетита !!! "	приятный вы аппетит !!! "	ADJ;GEN;MASC;SG 2;DAT;PL;PRO GEN;INAN;MASC;N;SG _ _
наверное , все получили взятки или указание воров чиновников .	наверное , все получить взятка или указание вор чиновник .	ADV _ ANIM;NOM;PL;PRO ACT;FIN;IND;PFV;PL;PST;V ACC;FEM;INAN;N;PL CONJ ACC;INAN;N;NEUT;SG ANIM;GEN;MASC;N;PL ANIM;GEN;MASC;N;PL _
- кончиком языка с внутренней стороны " почистить " поочередно нижние и верхние зубы	- кончик язык с внутренний сторона " почистить " поочередно нижний и верхний зуб	_ ANIM;INS;MASC;N;SG GEN;INAN;MASC;N;SG ADP ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ACT;NFIN;PFV;V _ ADV ACC;ADJ;INAN;PL CONJ ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL
домой придём - выпорю нахер !	домой прийти - выпороть нахер !	ADV 1;ACT;FIN;FUT;IND;PFV;PL;V _ 1;ACT;FIN;IND;IPFV;PRS;SG;V ADV _
историю подучите , хромает она у вас .	история подучить , хромать она у вы .	ACC;FEM;INAN;N;SG 2;ACT;FIN;FUT;IND;PFV;PL;V _ 3;ACT;FIN;IND;IPFV;PRS;SG;V 3;FEM;NOM;PRO;SG ADP 2;GEN;PL;PRO _
к этому времени они получаются как вяленые .	к этот время они получаться как вяленый .	ADP DAT;DET;NEUT;SG DAT;INAN;N;NEUT;SG 3;NOM;PL;PRO 3;FIN;IND;IPFV;MID;PL;PRS;V CONJ ADJ;NOM;PL _
а где ваш грудничок ?	а где ваш грудничок ?	CONJ ADV DET;MASC;NOM;SG INAN;MASC;N;NOM;SG _
- все бесполезно .	- всё бесполезный .	_ INAN;NEUT;NOM;PRO;SG ADJ;NEUT;SG _
@xxxxxx а берл лазар как там с синагогой в перми чем дело закончилосьсмерть депутата лдпр и поджог дома престарелых в перми .	@xxxxxx а берл лазар как там с синагога в пермь что дело закончиться+смерть депутат лдпр и поджог дом престарелый в пермь .	_ CONJ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG CONJ ADV ADP FEM;INAN;INS;N;SG ADP ESS;FEM;INAN;PROPN;SG INAN;INS;NEUT;PRO;SG INAN;N;NEUT;NOM;SG ACT;NFIN;PFV;V ACC;ANIM;MASC;N;SG FEM;GEN;INAN;PROPN;SG CONJ INAN;MASC;N;NOM;SG GEN;INAN;MASC;N;SG ADJ;GEN;PL ADP ESS;FEM;INAN;PROPN;SG _
обычный человек	обычный человек	ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG
что было дальше — вы знаете .	что быть дальше — вы знать .	INAN;NEUT;NOM;PRO;SG ACT;FIN;IND;IPFV;NEUT;PST;SG;V ADV;CMPR _ 2;NOM;PL;PRO 2;ACT;FIN;IND;IPFV;PL;PRS;V _
новое выступление в госдуме 2016	новый выступление в госдума 2016	ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADP ESS;FEM;INAN;PROPN;SG NUM
стойка в сечении : 4,5 х 13 см	стойка в сечение : 4,5 х 13 сантиметр	FEM;INAN;N;NOM;SG ADP ESS;INAN;N;NEUT;SG _ NUM ADP NUM ESS;INAN;MASC;N;PL
деловая колбаса :)	деловой колбаса :)	ADJ;FEM;NOM;SG ANIM;FEM;N;NOM;SG _
интервал между ингаляциями не должен быть менее 4 часов .	интервал между ингаляция не должен быть менее 4 час .	INAN;MASC;N;NOM;SG ADP FEM;INAN;INS;N;PL NEG;PART ADJ;MASC;SG ACT;IPFV;NFIN;V ADV;CMPR NUM GEN;INAN;MASC;N;PL _
а меньше месяца назад microsoft показала программное обеспечение , которое при нажатии на экран учитывает характер захвата устройства и нависание пальцев над какой-либо областью экрана .	а мало месяц назад microsoft показать программный обеспечение , который при нажатие на экран учитывать характер захват устройство и нависание палец над какой-либо область экран .	CONJ CMPR;NUM GEN;INAN;MASC;N;SG ADV PROPN ACT;FEM;FIN;IND;PFV;PST;SG;V ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG _ NOM;PRO ADP ESS;INAN;N;NEUT;SG ADP ACC;INAN;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG CONJ INAN;N;NEUT;NOM;SG GEN;INAN;MASC;N;PL ADP DET;FEM;INS;SG FEM;INAN;INS;N;SG GEN;INAN;MASC;N;SG _
отличная новость !	отличный новость !	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _
несколько лет назад я прочитав в интернете рецепт варенья из арбузных корок , приготовила его и .... выбросила .	несколько год назад я прочитать в интернет рецепт варенье из арбузный корка , приготовить он и .... выбросить .	ACC;INAN;NUM GEN;INAN;MASC;N;PL ADV 1;NOM;PRO;SG ACT;PFV;PST;V;V.CVB ADP ESS;INAN;MASC;N;SG ACC;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG ADP ADJ;GEN;PL FEM;GEN;INAN;N;PL _ ACT;FEM;FIN;IND;PFV;PST;SG;V 3;ACC;MASC;PRO;SG CONJ _ ACT;FEM;FIN;IND;PFV;PST;SG;V _
исходя из материалов дела , и в той мере , в которой этот вопрос относится к его компетенции , суд решил , что ваша жалоба не соответствует критериям приемлемости , изложенным , изложенным в статьях 34 и 35 конвенции .	исходить из материал дело , и в тот мера , в который этот вопрос относиться к его компетенция , суд решить , что ваш жалоба не соответствовать критерий приемлемость , изложить , изложить в статья 34 и 35 конвенция .	ACT;IPFV;PRS;V;V.CVB ADP GEN;INAN;MASC;N;PL GEN;INAN;N;NEUT;SG _ CONJ ADP DET;ESS;FEM;SG ESS;FEM;INAN;N;SG _ ADP ESS;PRO DET;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADP DET ACC;FEM;INAN;N;PL _ INAN;MASC;N;NOM;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _ CONJ DET;FEM;NOM;SG FEM;INAN;N;NOM;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V DAT;INAN;MASC;N;PL FEM;GEN;INAN;N;SG _ DAT;PASS;PFV;PL;PST;V;V.PTCP _ DAT;PASS;PFV;PL;PST;V;V.PTCP ADP ESS;FEM;INAN;N;PL NUM CONJ NUM FEM;GEN;INAN;N;SG _
нет никакой политики , никакой дипломатии , никаких попыток подчинить себе другого .	нет никакой политика , никакой дипломатия , никакой попытка подчинить себя другой .	3;ACT;FIN;IND;IPFV;PRS;SG;V DET;FEM;GEN;SG FEM;GEN;INAN;N;SG _ DET;FEM;GEN;SG FEM;GEN;INAN;N;SG _ DET;GEN;PL FEM;GEN;INAN;N;PL ACT;NFIN;PFV;V DAT;PRO ACC;ADJ;ANIM;MASC;SG _
приготовила на ужин морковные котлеты .	приготовить на ужин морковный котлета .	ACT;FEM;FIN;IND;PFV;PST;SG;V ADP ACC;INAN;MASC;N;SG ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _
🎄 детские новогодние песни 🎄	🎄 детский новогодний песня 🎄	_ ACC;ADJ;INAN;PL ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _
у нас хорошо : зарплата , океан , солнце , playstation , новый mac и отличная команда !	у мы хороший : зарплата , океан , солнце , playstation , новый mac и отличный команда !	ADP 1;GEN;PL;PRO ADJ;NEUT;SG _ FEM;INAN;N;NOM;SG _ INAN;MASC;N;NOM;SG _ INAN;N;NEUT;NOM;SG _ PROPN _ ADJ;MASC;NOM;SG PROPN CONJ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _
