« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
in haar verslag stelde de groep team consult dat in ons land een coherent en geïntegreerd politie- en veiligheidsbeleid ontbrak .	in haar verslag stellen de groep team consult dat in ons land een coherent en integreren politie- en veiligheidsbeleid ontbreken .	ADP 3;PRO N;NEUT;SG FIN;PST;SG;V DEF;DET MASC+FEM;N;SG PROPN PROPN CONJ ADP 1;PRO N;NEUT;SG DET;INDF ADJ CONJ V;V.PTCP _ CONJ N;NEUT;SG FIN;PST;SG;V _
personencultus staat dan ook haaks op de oorspronkelijke partijwaarden .	personencultus staan dan ook haaks op de oorspronkelijk partijwaarde .	MASC+FEM;N;SG FIN;PRS;SG;V ADV ADV ADJ ADP DEF;DET ADJ N;PL _
de instellingen houden rekening met zowel nederlandstaligen als franstaligen , al heeft een duidelijke meerderheid van de bevolking frans als eerste taal .	de instelling houden rekening met zowel nederlandstalig als franstalig , al hebben een duidelijk meerderheid van de bevolking frans als één taal .	DEF;DET N;PL FIN;PL;PRS;V MASC+FEM;N;SG ADP ADV ADJ CONJ ADJ _ ADV FIN;PRS;SG;V DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG NEUT;PROPN;SG ADP ADJ MASC+FEM;N;SG _
maar ook : " ik alleen weet waar het paneel van het lam gods zich bevindt .	maar ook : " ik alleen weten waar het paneel van het lam god zich bevinden .	CONJ ADV _ _ 1;NOM;PRO ADV FIN;PRS;SG;V ADV DEF;DET N;NEUT;SG ADP DEF;DET N;NEUT;SG PROPN;SG 3;ACC;PRO;REFL FIN;PRS;SG;V _
het waren stuk voor stuk erg onbeholpen , maar charmante strips die de lezers wel op de lachspieren werkten .	het zijn stuk voor stuk erg onbeholpen , maar charmant strip die de lezer wel op de lachspier werken .	3;PRO FIN;PL;PST;V N;NEUT;SG ADP N;NEUT;SG ADJ ADJ _ CONJ ADJ N;PL PRO DEF;DET N;PL ADV ADP DEF;DET N;PL FIN;PL;PST;V _
dit leven is in gevaar	dit leven zijn in gevaar	DET N;NEUT;SG FIN;PRS;SG;V ADP N;NEUT;SG
de fabriek werd gevestigd aan de kempischesteenweg .	de fabriek worden vestigen aan de kempischesteenweg .	DEF;DET MASC+FEM;N;SG FIN;PST;SG;V V;V.PTCP ADP DEF;DET MASC+FEM;PROPN;SG _
kroeg	kroeg	MASC+FEM;N;SG
provinciaal suske en wiske - kindermuseum te kalmthout	provinciaal suske en wiske - kindermuseum te kalmthout	ADJ PROPN PROPN PROPN _ N;NEUT;SG ADP NEUT;PROPN;SG
door de internationale crisis in de scheepsbouwsector raakte deze onderneming halverwege de jaren '80 in de problemen , en werd zij op 28 oktober 1992 failliet verklaard .	door de internationaal crisis in de scheepsbouwsector raken deze onderneming halverwege de jaar '80 in de probleem , en worden zij op 28 oktober 1992 failliet verklaren .	ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG FIN;PST;SG;V DET MASC+FEM;N;SG ADP DEF;DET N;PL NUM ADP DEF;DET N;PL _ CONJ FIN;PST;SG;V 3;NOM;PRO ADP NUM MASC+FEM;PROPN;SG NUM ADJ V;V.PTCP _
1962 - piet rentmeester ( ned )	1962 - piet rentmeester ( ned )	NUM _ PROPN PROPN _ MASC+FEM;PROPN;SG _
1929 - jef dervaes ( )	1929 - jef dervaes ( )	NUM _ PROPN PROPN _ _
in het jaar 2006 worden tal van activiteiten georganiseerd in het kader van brabant 1106-2006 , waarvoor veel ( internationale ) bezoekers worden verwacht in nederland en vlaanderen / belgië voor het brabant 900 jaar .	in het jaar 2006 worden tal van activiteit organiseren in het kader van brabant 1106-2006 , waarvoor veel ( internationaal ) bezoeker worden verwachten in nederland en vlaanderen / belgië voor het brabant 900 jaar .	ADP DEF;DET N;NEUT;SG NUM FIN;PL;PRS;V N;NEUT;SG ADP N;PL V;V.PTCP ADP DEF;DET N;NEUT;SG ADP NEUT;PROPN;SG _ _ ADV DET _ ADJ _ N;PL FIN;PL;PRS;V V;V.PTCP ADP NEUT;PROPN;SG CONJ NEUT;PROPN;SG _ NEUT;PROPN;SG ADP DEF;DET NEUT;PROPN;SG NUM N;NEUT;SG _
de vlaamse regering heeft haar zetel in brussel , net als de belgische regering ( de waalse regering heeft zijn zetel in namen ) .	de vlaams regering hebben haar zetel in brussel , net als de belgisch regering ( de waals regering hebben zijn zetel in namen ) .	DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V 3;PRO MASC+FEM;N;SG ADP NEUT;PROPN;SG _ ADV CONJ DEF;DET ADJ MASC+FEM;N;SG _ DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V 3;PRO MASC+FEM;N;SG ADP NEUT;PROPN;SG _ _
de huidige directeur van spirit is stijn coppejans , tevens schepen in kaprijke en oud-voorzitter van prego .	de huidig directeur van spirit zijn stijn coppejans , tevens schepen in kaprijke en oud-voorzitter van prego .	DEF;DET ADJ MASC+FEM;N;SG ADP PROPN;SG;{MASC+FEM/NEUT} FIN;PRS;SG;V PROPN PROPN _ ADV MASC+FEM;N;SG ADP NEUT;PROPN;SG CONJ MASC+FEM;N;SG ADP PROPN;SG;{MASC+FEM/NEUT} _
« ode aan ignatius » ( 1972 , hoorspel )	« ode aan ignatius » ( 1972 , hoorspel )	_ MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG _ _ NUM _ N;NEUT;SG _
n-va : 5	n-va : 5	MASC+FEM;PROPN;SG _ NUM
aan het eind van de twintigste eeuw kwamen de kaarten wat anders te liggen .	aan het eind van de twintig eeuw komen de kaart wat ander te liggen .	ADP DEF;DET N;NEUT;SG ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PL;PST;V DEF;DET N;PL 3;PRO ADJ ADP NFIN;V _
externe link	extern link	ADJ MASC+FEM;N;SG
de sint-nicolaaskerk	de sint-nicolaaskerk	DEF;DET MASC+FEM;PROPN;SG
dit is waarschijnlijk een verwijzing naar het feit dat magritte zijn moeder naakt terug vond in de samber nadat deze zelfmoord had gepleegd .	dit zijn waarschijnlijk een verwijzing naar het feit dat magritte zijn moeder naakt terug vinden in de samber nadat deze zelfmoord hebben plegen .	3;PRO FIN;PRS;SG;V ADJ DET;INDF MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG CONJ MASC+FEM;PROPN;SG 3;PRO MASC+FEM;N;SG ADJ ADV FIN;PST;SG;V ADP DEF;DET MASC+FEM;PROPN;SG CONJ PRO MASC+FEM;N;SG FIN;PST;SG;V V;V.PTCP _
1904 - hippolyte aucouturier	1904 - hippolyte aucouturier	NUM _ PROPN PROPN
op het atheneum kwam zijn voorliefde voor de literatuur tot bloei .	op het atheneum komen zijn voorliefde voor de literatuur tot bloei .	ADP DEF;DET N;NEUT;SG FIN;PST;SG;V 3;PRO MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP MASC+FEM;N;SG _
hasselt is ook bereikbaar met het vliegtuig .	hasselt zijn ook bereikbaar met het vliegtuig .	NEUT;PROPN;SG FIN;PRS;SG;V ADV ADJ ADP DEF;DET N;NEUT;SG _
de ijzer ( frans : « yser » ) is de kortste van de drie belgische rivieren die in zee uitmonden ( de andere twee zijn de maas en de schelde ) .	de ijzer ( frans : « yser » ) zijn de kort van de drie belgisch rivier die in zee uitmonden ( de ander twee zijn de maas en de schelde ) .	DEF;DET MASC+FEM;PROPN;SG _ NEUT;PROPN;SG _ _ MASC+FEM;PROPN;SG _ _ FIN;PRS;SG;V DEF;DET ADJ;RL ADP DEF;DET NUM ADJ N;PL PRO ADP MASC+FEM;N;SG FIN;PL;PRS;V _ DEF;DET ADJ NUM FIN;PL;PRS;V DEF;DET MASC+FEM;PROPN;SG CONJ DEF;DET MASC+FEM;PROPN;SG _ _
1979 - francesco moser ( )	1979 - francesco moser ( )	NUM _ PROPN PROPN _ _
schongau , ( duitsland )	schongau , ( duitsland )	NEUT;PROPN;SG _ _ NEUT;PROPN;SG _
1998 - andrei tchmil ( bel )	1998 - andrei tchmil ( bel )	NUM _ PROPN PROPN _ NEUT;PROPN;SG _
kuifje is een verslaggever die in brussel woont .	kuifje zijn een verslaggever die in brussel wonen .	MASC+FEM;PROPN;SG FIN;PRS;SG;V DET;INDF MASC+FEM;N;SG PRO ADP NEUT;PROPN;SG FIN;PRS;SG;V _
mechels maantje : een chocolaatje	mechels maan : een chocola	ADJ N;NEUT;SG _ DET;INDF N;NEUT;SG
in deze tijd werden dan ook in west-francië de grondslagen gelegd van het hertogdom brabant , het graafschap henegouwen en het graafschap vlaanderen .	in deze tijd worden dan ook in west-francië de grondslag leggen van het hertogdom brabant , het graafschap henegouwen en het graafschap vlaanderen .	ADP DET MASC+FEM;N;SG FIN;PL;PST;V ADV ADV ADP NEUT;PROPN;SG DEF;DET N;PL V;V.PTCP ADP DEF;DET N;NEUT;SG NEUT;PROPN;SG _ DEF;DET N;NEUT;SG NEUT;PROPN;SG CONJ DEF;DET N;NEUT;SG NEUT;PROPN;SG _
antwerpen diamond games - wint haar 21ste enkelspeltoernooi van silvia farina elia	antwerpen diamond games - winnen haar 21 enkelspeltoernooi van silvia farina elia	PROPN PROPN PROPN _ FIN;PRS;SG;V 3;PRO ADJ N;NEUT;SG ADP PROPN PROPN PROPN
strips	strip	N;PL
de nieuwe belgische staat zorgde voor een aanzienlijke versnelling in de uitbouw van brussel .	de nieuw belgisch staat zorgen voor een aanzienlijk versnelling in de uitbouw van brussel .	DEF;DET ADJ ADJ MASC+FEM;N;SG FIN;PST;SG;V ADP DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG _
zijn woorden gingen als volgt in de geschiedenis ;	zijn woord gaan als volgen in de geschiedenis ;	3;PRO N;PL FIN;PL;PST;V CONJ FIN;PRS;SG;V ADP DEF;DET MASC+FEM;N;SG _
de profeet zacharia	de profeet zacharia	DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG
ook staat hij bekend voor zijn liefde voor dieren en snelle auto's .	ook staan hij bekend voor zijn liefde voor dier en snel auto .	ADV FIN;PRS;SG;V 3;NOM;PRO ADJ ADP 3;PRO MASC+FEM;N;SG ADP N;PL CONJ ADJ N;PL _
doortje van hoeck - ann tuts	doortje van hoeck - ann tuts	PROPN PROPN PROPN _ PROPN PROPN
deze maskers komen later in zijn werk heel veel terug .	deze masker komen laat in zijn werk heel veel terug .	DET N;PL FIN;PL;PRS;V ADJ;CMPR ADP 3;PRO N;NEUT;SG ADJ PRO ADV _
utrecht - mr. b. ( boele ) staal	utrecht - mr. b. ( boele ) staal	NEUT;PROPN;SG _ PROPN PROPN PROPN PROPN PROPN PROPN
brussels airport , ook wel luchthaven zaventem of luchthaven brussel-nationaal genoemd , ligt net buiten de stad en is de grootste luchthaven van belgië .	brussels airport , ook wel luchthaven zaventem of luchthaven brussel-nationaal noemen , liggen net buiten de stad en zijn de groot luchthaven van belgië .	PROPN PROPN _ ADV ADV MASC+FEM;N;SG NEUT;PROPN;SG CONJ PROPN PROPN V;V.PTCP _ FIN;PRS;SG;V ADV ADP DEF;DET MASC+FEM;N;SG CONJ FIN;PRS;SG;V DEF;DET ADJ;RL MASC+FEM;N;SG ADP NEUT;PROPN;SG _
latijn : lucius et lucia	latijn : lucius et lucia	NEUT;PROPN;SG _ PROPN PROPN PROPN
ze wordt ook vaak als " duitstalige gemeenschap van belgië " omschreven ( duits : ' deutschsprachige gemeinschaft belgiens ' ) , vooral in contacten met het buitenland .	ze worden ook vaak als " duitstalig gemeenschap van belgië " omschrijven ( duits : ' deutschsprachige gemeinschaft belgiens ' ) , vooral in contact met het buitenland .	3;PRO FIN;PRS;SG;V ADV ADJ ADP _ ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG _ V;V.PTCP _ NEUT;PROPN;SG _ _ PROPN PROPN PROPN _ _ _ ADV ADP N;PL ADP DEF;DET N;NEUT;SG _
voor hen wordt het duidelijk : als ze hun eisen politiek willen verankeren , zullen ze het zelf moeten doen .	voor hen worden het duidelijk : als ze hun eis politiek willen verankeren , zullen ze het zelf moeten doen .	ADP 3;ACC;PRO FIN;PRS;SG;V 3;PRO ADJ _ CONJ 3;PRO 3;PRO N;PL ADJ FIN;PL;PRS;V NFIN;V _ FIN;PL;PRS;V 3;PRO 3;PRO ADV NFIN;V NFIN;V _
franse gemeenschap	frans gemeenschap	ADJ MASC+FEM;N;SG
" mieleke melleke mol " en " plankgas en plastronneke " .	" mieleke melleke mol " en " plankgas en plastronneke " .	_ PROPN PROPN PROPN _ CONJ _ PROPN PROPN PROPN _ _
waals parlement ( 75 leden )	waals parlement ( 75 lid )	ADJ N;NEUT;SG _ NUM N;PL _
onder zijn bewind werd ook een mislukte kolonisatiepoging ondernomen in santo tomas ( guatemala ) door de compagnie belge de colonisation .	onder zijn bewind worden ook een mislukken kolonisatiepoging ondernemen in santo tomas ( guatemala ) door de compagnie belge de colonisation .	ADP 3;PRO N;NEUT;SG FIN;PST;SG;V ADV DET;INDF V;V.PTCP MASC+FEM;N;SG V;V.PTCP ADP PROPN PROPN _ NEUT;PROPN;SG _ ADP DEF;DET PROPN PROPN PROPN PROPN _
hij werd tussentijds opgevolgd door alexander pechtold .	hij worden tussentijds opvolgen door alexander pechtold .	3;NOM;PRO FIN;PST;SG;V ADJ V;V.PTCP ADP PROPN PROPN _
hij is een vlaams kunstschilder .	hij zijn een vlaams kunstschilder .	3;NOM;PRO FIN;PRS;SG;V DET;INDF ADJ MASC+FEM;N;SG _
onderwijs	onderwijs	N;NEUT;SG
de genoemde drie personen waren allen na de tweede wereldoorlog in belgië ter dood veroordeeld wegens collaboratie . )	de noemen drie persoon zijn al na de tweede wereldoorlog in belgië te dood veroordelen wegens collaboratie . )	DEF;DET V;V.PTCP NUM N;PL FIN;PL;PST;V PRO ADP DEF;DET PROPN PROPN ADP NEUT;PROPN;SG ADP MASC+FEM;N;SG V;V.PTCP ADP MASC+FEM;N;SG _ _
luxemburg zou tevens bij de duitse bond horen .	luxemburg zullen tevens bij de duits bond horen .	NEUT;PROPN;SG FIN;PST;SG;V ADV ADP DEF;DET ADJ MASC+FEM;N;SG NFIN;V _
het gedachtegoed van vivant , vooral het economische deel , is gebaseerd op het boek « nv belgië : verslag aan de aandeelhouders » , dat duchâtelet schreef in 1994 .	het gedachtegoed van vivant , vooral het economisch deel , zijn baseren op het boek « nv belgië : verslag aan de aandeelhouder » , dat duchâtelet schrijven in 1994 .	DEF;DET N;NEUT;SG ADP PROPN;SG;{MASC+FEM/NEUT} _ ADV DEF;DET ADJ N;NEUT;SG _ FIN;PRS;SG;V V;V.PTCP ADP DEF;DET N;NEUT;SG _ MASC+FEM;N;SG NEUT;PROPN;SG _ N;NEUT;SG ADP DEF;DET N;PL _ _ 3;PRO MASC+FEM;PROPN;SG FIN;PST;SG;V ADP NUM _
« zie ook : »	« zien ook : »	_ FIN;PRS;SG;V ADV _ _
1985 -- adri van der poel	1985 -- adri van der poel	NUM _ PROPN PROPN PROPN PROPN
de 19 gemeenten van het brussels hoofdstedelijk gewest ( met hun postcodes ) :	de 19 gemeente van het brussels hoofdstedelijk gewest ( met hun postcode ) :	DEF;DET NUM N;PL ADP DEF;DET PROPN PROPN PROPN _ ADP 3;PRO N;PL _ _
denkend dat ze volledig genezen is van haar virus , gaat henin naar de us open waar ze in de 1/8 finales verliest van nadia petrova .	denken dat ze volledig genezen zijn van haar virus , gaan henin naar de us open waar ze in de 1/8 finale verliezen van nadia petrova .	V;V.PTCP CONJ 3;PRO ADJ V;V.PTCP FIN;PRS;SG;V ADP 3;PRO N;NEUT;SG _ FIN;PRS;SG;V MASC+FEM;PROPN;SG ADP DEF;DET PROPN PROPN ADV 3;PRO ADP DEF;DET NUM N;PL FIN;PRS;SG;V ADP PROPN PROPN _
op het partijcongres van 1961 besloot men de stroming om te vormen tot pvv/plp ( partij voor vrijheid en vooruitgang / parti de la liberté et du progrés ) .	op het partijcongres van 1961 besluiten men de stroming om te vormen tot pvv/plp ( partij voor vrijheid en vooruitgang / parti de la liberté et du progrés ) .	ADP DEF;DET N;NEUT;SG ADP NUM FIN;PST;SG;V 3;NOM;PRO DEF;DET MASC+FEM;N;SG ADP ADP NFIN;V ADP MASC+FEM;PROPN;SG _ MASC+FEM;N;SG ADP MASC+FEM;N;SG CONJ MASC+FEM;N;SG _ _ _ _ _ _ _ _ _ _
« de blijde boodschap » ( 2002 )	« de blijde boodschap » ( 2002 )	_ DEF;DET ADJ MASC+FEM;N;SG _ _ NUM _
napoleon had het terugtrekkende pruisische leger laten achtervolgen door grouchy met een leger van 35.000 man ( het franse 3e en 4e korps ) .	napoleon hebben het terugtrekken pruisisch leger laten achtervolgen door grouchy met een leger van 35.000 man ( het frans 3 en 4 korps ) .	MASC+FEM;PROPN;SG FIN;PST;SG;V DEF;DET V;V.PTCP ADJ N;NEUT;SG NFIN;V NFIN;V ADP MASC+FEM;PROPN;SG ADP DET;INDF N;NEUT;SG ADP NUM MASC+FEM;N;SG _ DEF;DET ADJ ADJ CONJ ADJ N;NEUT;SG _ _
evenals op andere plaatsen in de regio hebben zich hier verschrikkelijke taferelen afgespeeld .	evenals op ander plaats in de regio hebben zich hier verschrikkelijk tafereel afspelen .	CONJ ADP ADJ N;PL ADP DEF;DET MASC+FEM;N;SG FIN;PL;PRS;V 3;ACC;PRO;REFL ADV ADJ N;PL V;V.PTCP _
ministeries , nationale en regionale instellingen ;	ministerie , nationaal en regionaal instelling ;	N;PL _ ADJ CONJ ADJ N;PL _
biografie	biografie	MASC+FEM;N;SG
bij de regeringsvorming belandde de cvp voor het eerst in veertig jaar in de oppositie , zowel op federaal bestuursniveau als op vlaams bestuursniveau .	bij de regeringsvorming belanden de cvp voor het één in veertig jaar in de oppositie , zowel op federaal bestuursniveau als op vlaams bestuursniveau .	ADP DEF;DET MASC+FEM;N;SG FIN;PST;SG;V DEF;DET MASC+FEM;PROPN;SG ADP DEF;DET ADJ ADP NUM N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG _ ADV ADP ADJ N;NEUT;SG CONJ ADP ADJ N;NEUT;SG _
aalst ( noord-brabant ) « ( kerkeind , haestlo ) , » dorp en voormalige heerlijkheid in de gemeente waalre .	aalst ( noord-brabant ) « ( kerkeind , haestlo ) , » dorp en voormalig heerlijkheid in de gemeente waalre .	NEUT;PROPN;SG _ NEUT;PROPN;SG _ _ _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ _ _ N;NEUT;SG CONJ ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG NEUT;PROPN;SG _
de school van tervuren was een groep schilders die zich rond 1870 , te tervuren vormde , omheen hippolyte boulanger .	de school van tervuren zijn een groep schilder die zich rond 1870 , te tervuren vormen , omheen hippolyte boulanger .	DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG FIN;PST;SG;V DET;INDF MASC+FEM;N;SG N;PL PRO 3;ACC;PRO;REFL ADP NUM _ ADP NEUT;PROPN;SG FIN;PST;SG;V _ ADP PROPN PROPN _
stanley had ondertussen al een overeenkomst gesloten met 450 stamhoofden die de soevereiniteit over hun gebieden hadden afgestaan .	stanley hebben ondertussen al een overeenkomst sluiten met 450 stamhoofd die de soevereiniteit over hun gebied hebben afstaan .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV ADV DET;INDF MASC+FEM;N;SG V;V.PTCP ADP NUM N;PL PRO DEF;DET MASC+FEM;N;SG ADP 3;PRO N;PL FIN;PL;PST;V V;V.PTCP _
vele gemeentebesturen weigerden decennialang om gemeentelijke vlaamse bibliotheken op te richten .	veel gemeentebestuur weigeren decennialang om gemeentelijk vlaams bibliotheek op te richten .	PRO N;PL FIN;PL;PST;V ADJ ADP ADJ ADJ N;PL ADP ADP NFIN;V _
vlaams parlement	vlaams parlement	PROPN PROPN
de kruidtuin , met marmeren standbeeld van de wereldbefaamde lokale herbalist rembert dodoens	de kruidtuin , met marmeren standbeeld van de wereldbefaamd lokaal herbalist rembert dodoens	DEF;DET MASC+FEM;N;SG _ ADP ADJ N;NEUT;SG ADP DEF;DET ADJ ADJ MASC+FEM;N;SG PROPN PROPN
het waren leerlingen van joseph coosemans , die intussen leraar landschapschilderen geworden was aan het hoger instituut voor schone kunsten te antwerpen .	het zijn leerling van joseph coosemans , die intussen leraar landschapschilderen worden zijn aan het hoog instituut voor schoon kunst te antwerpen .	3;PRO FIN;PL;PST;V N;PL ADP PROPN PROPN _ PRO ADV MASC+FEM;N;SG NFIN;V V;V.PTCP FIN;PST;SG;V ADP DEF;DET ADJ;CMPR N;NEUT;SG ADP ADJ N;PL ADP NEUT;PROPN;SG _
1/3 van de oppervlakte van wallonië is bebost en dat oppervlak wordt alsmaar groter .	1/3 van de oppervlakte van wallonië zijn bebossen en dat oppervlak worden alsmaar groot .	NUM ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG FIN;PRS;SG;V V;V.PTCP CONJ DET N;NEUT;SG FIN;PRS;SG;V ADV ADJ;CMPR _
dramatiek	dramatiek	MASC+FEM;N;SG
het bier in de middeleeuwen was wezenlijk anders dan tegenwoordig .	het bier in de middeleeuwen zijn wezenlijk anders dan tegenwoordig .	DEF;DET N;NEUT;SG ADP DEF;DET PL;PROPN FIN;PST;SG;V ADJ ADV CONJ ADJ _
« zie ook spaanse tijd »	« zien ook spaans tijd »	_ FIN;PRS;SG;V ADV ADJ MASC+FEM;N;SG _
zijne koninklijke hoogheid prins alexander ; prins van belgië ; prins van réthy	zijn koninklijk hoogheid prins alexander ; prins van belgië ; prins van réthy	3;PRO ADJ MASC+FEM;N;SG MASC+FEM;N;SG MASC+FEM;PROPN;SG _ MASC+FEM;N;SG ADP NEUT;PROPN;SG _ MASC+FEM;N;SG ADP NEUT;PROPN;SG
bezienswaardigheden	bezienswaardigheid	N;PL
belgië is een federaal land en een constitutionele monarchie met aan het hoofd een rechtstreeks afstammeling van koning leopold i , momenteel koning albert ii .	belgië zijn een federaal land en een constitutioneel monarchie met aan het hoofd een rechtstreeks afstammeling van koning leopold i , momenteel koning albert ii .	NEUT;PROPN;SG FIN;PRS;SG;V DET;INDF ADJ N;NEUT;SG CONJ DET;INDF ADJ MASC+FEM;N;SG ADP ADP DEF;DET N;NEUT;SG DET;INDF ADJ MASC+FEM;N;SG ADP MASC+FEM;N;SG PROPN PROPN _ ADJ MASC+FEM;N;SG PROPN PROPN _
200 jaren van verval en afbraak volgden .	200 jaar van verval en afbraak volgen .	NUM N;PL ADP N;NEUT;SG CONJ MASC+FEM;N;SG FIN;PL;PST;V _
agalev krijgt in de federale regering bevoegdheid over onder meer leefmilieu , volksgezondheid , dierenwelzijn , voedselveiligheid en ontwikkelingssamenwerking .	agalev krijgen in de federaal regering bevoegdheid over onder veel leefmilieu , volksgezondheid , dierenwelzijn , voedselveiligheid en ontwikkelingssamenwerking .	NEUT;PROPN;SG FIN;PRS;SG;V ADP DEF;DET ADJ MASC+FEM;N;SG MASC+FEM;N;SG ADP ADP PRO N;NEUT;SG _ MASC+FEM;N;SG _ N;NEUT;SG _ MASC+FEM;N;SG CONJ MASC+FEM;N;SG _
de musical is zowel in belgië als in nederland opgevoerd .	de musical zijn zowel in belgië als in nederland opvoeren .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADV ADP NEUT;PROPN;SG CONJ ADP NEUT;PROPN;SG V;V.PTCP _
boelwerf was het grootste belgische scheepsbouwbedrijf .	boelwerf zijn het groot belgisch scheepsbouwbedrijf .	MASC+FEM;PROPN;SG FIN;PST;SG;V DEF;DET ADJ;RL ADJ N;NEUT;SG _
in 1982 haalde zijn dubbelelpee « 10 jaar urbanus live » platina , en zijn single « quand les zosiaux chantent dans les bois » ( " als de vogeltjens zingen in 't woud " ) was wederom een groot succes .	in 1982 halen zijn dubbelelpee « 10 jaar urbanus live » platina , en zijn single « quand les zosiaux chantent dans les bois » ( " als de vogel zingen in 't woud " ) zijn wederom een groot succes .	ADP NUM FIN;PST;SG;V 3;PRO MASC+FEM;N;SG _ PROPN PROPN PROPN PROPN _ ADJ _ CONJ 3;PRO MASC+FEM;N;SG _ _ _ _ _ _ _ _ _ _ _ CONJ DEF;DET N;PL FIN;PL;PRS;V ADP DEF;DET N;NEUT;SG _ _ FIN;PST;SG;V ADV DET;INDF ADJ N;NEUT;SG _
willy de clercq werd de eerste voorzitter van de vlaamse pvv .	willy de clercq worden de één voorzitter van de vlaams pvv .	PROPN PROPN PROPN FIN;PST;SG;V DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;PROPN;SG _
toen kamervoorzitter frank swaelen van rossem terecht wees met de woorden	toen kamervoorzitter frank swaelen van rossem terecht wijzen met de woord	CONJ MASC+FEM;N;SG PROPN PROPN PROPN PROPN ADJ FIN;PST;SG;V ADP DEF;DET N;PL
zo beklemtoont hij de raadselachtigheid van de objectenwereld .	zo beklemtonen hij de raadselachtigheid van de objectenwereld .	ADV FIN;PRS;SG;V 3;NOM;PRO DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG _
regeringsleden	regeringslid	N;PL
zij blijven uitbetaald volgens hun oorspronkelijke graad .	zij blijven uitbetalen volgens hun oorspronkelijk graad .	3;NOM;PRO FIN;PL;PRS;V V;V.PTCP ADP 3;PRO ADJ MASC+FEM;N;SG _
zoutwerf	zoutwerf	MASC+FEM;N;SG
kaart antwerpen	kaart antwerpen	MASC+FEM;N;SG NEUT;PROPN;SG
belgische gerechten	belgisch gerecht	ADJ N;PL
camille paulus ( vanaf 1993 )	camille paulus ( vanaf 1993 )	PROPN PROPN _ ADP NUM _
oudste ambachtelijke tekst in het frans : 1194 oudste ambachtelijke tekst in het diets : 1236	oud ambachtelijk tekst in het frans : 1194 oud ambachtelijk tekst in het diets : 1236	ADJ;RL ADJ MASC+FEM;N;SG ADP DEF;DET NEUT;PROPN;SG _ NUM ADJ;RL ADJ MASC+FEM;N;SG ADP DEF;DET NEUT;PROPN;SG _ NUM
