oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
sin é an uair a tuigeadh dos na hóglaigh i gcomhlacht champabasso gurbh olc a chuireadar a gcuid airgid .	sin é an uair a tuig do na óglach i comhlacht champabasso is olc a cuir a cuid airgead .	PRO 3;MASC;PRO;SG DEF;DET;SG DEF;FEM;N;SG PART IND;PST;V ADP DEF;DET;PL DEF;MASC;N;PL ADP MASC;N;SG MASC;PROPN;SG PST;V ADJ PART 3;IND;PL;PST;V 3;DET;PL FEM;N;SG GEN;MASC;N;SG _
ba léir go bhféadfadh sí argóint a dhéanamh go dlisteanach go raibh sí gann in airgead - ceann de na cúiseanna a dhéantar íocaíocht seach-reachtúil - de bharr gur chaill sí beagnach ocht mbliana riaráistí pinsin .	is léir go féad sí argóint a déanamh go dlisteanach go bí sí gann i airgead - ceann de na cúis a déan íocaíocht reachtúil - de bharr gur caill sí beagnach ocht bliain riaráiste pinsean .	PST;V ADJ PART COND;V 3;FEM;PRO;SG FEM;N;SG PART N;NFIN PART ADJ PART IND;PST;V 3;FEM;PRO;SG ADJ ADP MASC;N;SG _ MASC;N;SG ADP DEF;DET;PL DEF;FEM;N;PL PART IND;PRS;V FEM;N;SG ADJ _ ADP ADP PART;PST IND;PST;V 3;FEM;PRO;SG ADV NUM FEM;N;PL GEN;MASC;N;PL GEN;MASC;N;SG _
beidh feachtas margaíochta ar fiú e50 ,000 é ag tionlacan sheoladh an eagráin thablóidigh nó beidh fógraí teilifíse agus raidió á gcraoladh ar tg4 , raidió na life agus raidió fáilte .	bí feachtas margaíocht is fiú e50 ,000 é ag tionlacan seoladh an eagrán tablóideach nó bí fógra teilifís agus raidió do craoladh ar tg4 , raidió na life agus raidió fáilte .	FUT;IND;V MASC;N;SG FEM;GEN;N;SG PRS;V N;SG _ NUM 3;MASC;PRO;SG ADP N;V.MSDR MASC;N;SG DEF;DET;SG GEN;MASC;N;SG ADJ;GEN;MASC;SG CONJ FUT;IND;V MASC;N;PL FEM;GEN;N;SG CONJ GEN;MASC;N;SG 3;ADP;PL N;NFIN ADP _ _ MASC;N;SG DEF;DET;FEM;GEN;SG FEM;GEN;PROPN CONJ MASC;N;SG FEM;GEN;N;SG _
agus is iomaí lá fada fuar feannta a chaoinfeas sé a chuid siléige chúns a bhí sé ar an scoil seo againne .	agus is iomaí lá fada fuar feannta a caoin sé a cuid siléig chomh_fada_is a bí sé ar an scoil seo ag .	CONJ PRS;V ADJ MASC;N;SG ADJ;MASC;SG ADJ;MASC;SG ADJ;V.PTCP PART FUT;IND;V 3;MASC;PRO;SG 3;DET;MASC;SG FEM;N;SG FEM;GEN;N;SG CONJ PART IND;PST;V 3;MASC;PRO;SG ADP DEF;DET;SG FEM;N;SG DET 1;ADP;PL _
' cad é sin ?	' cad é sin ?	_ PRO 3;MASC;PRO;SG PRO _
níl fágtha den seandream ach an ceannaire , mary harney , agus liz o' donnell .	bí fágtha de dream ach an ceannaire , mary harney , agus liz o' donnell .	IND;NEG;PRS;V ADJ;V.PTCP ADP;SG MASC;N;SG CONJ DEF;DET;SG DEF;MASC;N;SG _ FEM;PROPN;SG MASC;PROPN;SG _ CONJ MASC;PROPN;SG PART MASC;PROPN;SG _
toghfaidh na hairi ó na ballstáit a bhfuil an euro glactha acu uachtarán go ceann dhá bhliain go leith , trí thromlach de na ballstáit sin .	togh na aire ó na stát a bí an euro glactha ag uachtarán go ceann dó bliain go leith , trí tromlach de na stát sin .	FUT;IND;V DEF;DET;PL DEF;MASC;N;PL ADP DEF;DET;PL DEF;MASC;N;PL PART IND;PRS;V DEF;DET;SG MASC;N;SG ADJ;V.PTCP 3;ADP;PL MASC;N;SG ADP ADP NUM FEM;N;SG ADP FEM;N;SG _ ADP MASC;N;SG ADP DEF;DET;PL DEF;MASC;N;PL DET _
daoine faoi mhíchumas .	duine faoi míchumas .	MASC;N;PL ADP MASC;N;SG _
leis an modh reacaireachta a úsáidtear san insint cuirtear imeachtaí an scéil i láthair tré shúile mhairéid cuid mhaith .	le an modh reacaireacht a úsáid i insint cuir imeacht an scéal i láthair tré súil mhairéid cuid maith .	ADP DEF;DET;SG DEF;MASC;N;SG FEM;GEN;N;SG PART IND;PRS;V ADP;SG DEF;FEM;N;SG IND;PRS;V MASC;N;PL DEF;DET;SG DEF;GEN;MASC;N;SG ADP ADP ADP FEM;N;PL MASC;PROPN;SG FEM;N;SG ADJ;FEM;SG _
i mí eanáir , thuairisc na taighdeoirí céanna go raibh dath turcaide uirthi .	i mí eanáir , tuairisc na taighdeoir céanna go bí dath turcaid ar .	ADP FEM;N;SG GEN;MASC;N;SG _ FEM;N;SG DEF;DET;FEM;GEN;SG GEN;MASC;N;PL ADJ PART IND;PST;V MASC;N;SG FEM;GEN;N;SG 3;ADP;FEM;SG _
thug sé léargas ar shaíocht na sean-ghréige ná fuair glacadh ná fáilte óna scoláirí traidisiúnta .	tabhair sé léargas ar saíocht na sean-ghréige nach faigh glacadh ná fáilte ó scoláire traidisiúnta .	IND;PST;V 3;MASC;PRO;SG MASC;N;SG ADP FEM;N;SG DEF;DET;FEM;GEN;SG FEM;GEN;PROPN NEG;PART IND;PST;V N;NFIN CONJ FEM;N;SG 3;ADP;MASC;SG MASC;N;PL ADJ _
cineál ainmhí a chaitheann cuid dá shaolré in uisce agus cuid eile ar talamh ; é fuarfhuilteach , le cnámh droma orgánaigh ar nós baictéar agus fungas ; dianscaoileann siad taisí orgánacha marbha go ndéanann substaintí níos simplí díobh , rudaí a sheoltar ar ais isteach san ithir díleá .	cineál ainmhí a caith cuid de saolré i uisce agus cuid eile ar talamh ; é fuarfhuilteach , le cnámh droim orgánach ar nós baictéar agus fungas ; scaoil siad taise orgánach marbh go déan substaint níos simplí de , rud a seol ar ais isteach i ithir díleá .	MASC;N;SG GEN;MASC;N;SG PART IND;PRS;V FEM;N;SG 3;ADP;MASC;SG FEM;N;SG ADP MASC;N;SG CONJ FEM;N;SG DET ADP FEM;N;SG _ 3;MASC;PRO;SG FEM;N;SG _ ADP FEM;N;SG GEN;MASC;N;SG MASC;N;PL ADP ADP MASC;N;SG CONJ MASC;N;SG _ IND;PRS;V 3;PL;PRO FEM;N;PL ADJ;PL ADJ;PL PART IND;NEG;PRS;V FEM;N;PL N;SG ADJ;{CMPR/RL} 3;ADP;PL _ GEN;MASC;N;PL PART IND;PRS;V ADV ADV ADV ADP;SG FEM;N;SG GEN;MASC;N;SG _
tá an chothromaíocht mar bhunchloch ag an togra , ón tús .	bí an cothromaíocht mar bunchloch ag an togradh , ó tús .	IND;PRS;V DEF;DET;SG DEF;FEM;N;SG ADP FEM;N;SG ADP DEF;DET;SG MASC;N;SG _ ADP;SG DEF;MASC;N;SG _
shín neansaí canna beorach chugam .	sín neansaí canna beoir chuig .	IND;PST;V FEM;N;SG MASC;N;SG FEM;GEN;N;SG 1;ADP;SG _
' fostaíodh comhairleoirí gaeilge ar chonradh dhá bhliain i gcuid de na bordcheantair cheana féin ach ceapann comhar go bhfuil géarghá le comhairleoir gaeilge lánaimseartha in achan bhordcheantar sa tuaisceart sa dóigh is go mbeidh leanúnachas san obair .	' fostaigh comhairleoir gaeilge ar conradh dó bliain i cuid de na ceantar cheana féin ach ceap comhar go bí géarghá le comhairleoir gaeilge lánaimseartha i achan bhordcheantar i tuaisceart i dóigh agus go bí leanúnachas i obair .	_ IND;PST;V MASC;N;PL FEM;GEN;PROPN;SG ADP MASC;N;SG NUM FEM;N;SG ADP FEM;N;SG ADP DEF;DET;PL MASC;N;PL ADV ADV CONJ IND;PRS;V MASC;N;SG CONJ IND;PRS;V MASC;N;SG ADP MASC;N;SG FEM;GEN;PROPN;SG ADJ ADP DEF MASC;N;SG ADP;SG MASC;N;SG ADP;SG FEM;N;SG CONJ CONJ FUT;IND;V MASC;N;SG ADP;SG FEM;N;SG _
tá sé á gcothú ar na cuileoga agus tá siad sin á ndíothú go mear dá cheann sin , bíodh nach sos dó ach ag mealladh a thuilleadh isteach sa seomra lena chuid féin bia .	bí sé do cothú ar na cuileog agus bí siad sin do díothú go mear de ceann sin , bí is sos do ach ag mealladh a tuilleadh isteach i seomra le cuid féin bia .	IND;PRS;V 3;MASC;PRO;SG 3;ADP;PL MASC;N;SG ADP DEF;DET;PL DEF;FEM;N;PL CONJ IND;PRS;V 3;PL;PRO PRO 3;ADP;PL N;NFIN PART ADJ ADP MASC;N;SG PRO _ 3;IMP;SG;V NEG;PRS;V MASC;N;SG 3;ADP;MASC;SG CONJ ADP N;V.MSDR N;SG N ADV ADP;SG MASC;N;SG ADP FEM;N;SG PRO;REFL MASC;N;SG _
feictear risteard thuas lena ál .	feic risteard thuas le ál .	IND;PRS;V MASC;PROPN;SG ADV 3;ADP;MASC;SG MASC;N;SG _
cuirfidh uachtarán na comhairle parlaimint na heorpa ar an eolas maidir le glacadh , coigeartú nó tréigean rátaí lárnacha an ecu .	cuir uachtarán na comhairle parlaimint na eoraip ar an eolas maidir le glacadh , coigeartú nó tréigean ráta lárnach an ecu .	FUT;IND;V MASC;N;SG DEF;DET;FEM;GEN;SG FEM;N;SG FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG ADP DEF;DET;SG MASC;N;SG ADP ADP N;NFIN _ MASC;N;SG CONJ MASC;N;SG MASC;N;PL ADJ;PL DEF;DET;SG _ _
sásta ar deireadh , glacaim sos .	sásta ar deireadh , glac sos .	ADJ ADP MASC;N;SG _ 1;IND;PRS;SG;V MASC;N;SG _
chaith sé cúpla bliain ina chónaí ar an oileán leis féin ach bhog sé isteach go tír mór sa bhliain 1975 nuair a bhí sé 63 bliain d' aois .	caith sé cúpla bliain i cónaí ar an oileán le féin ach bog sé isteach go tír mór i bliain 1975 nuair a bí sé 63 bliain de aois .	IND;PST;V 3;MASC;PRO;SG MASC;N;SG FEM;N;SG 3;ADP;MASC;SG N;NFIN ADP DEF;DET;SG DEF;MASC;N;SG 3;ADP;MASC;SG PRO;REFL CONJ IND;PST;V 3;MASC;PRO;SG ADV ADP FEM;N;SG ADJ;MASC;SG ADP;SG DEF;FEM;N;SG NUM CONJ PART IND;PST;V 3;MASC;PRO;SG NUM FEM;N;SG ADP FEM;N;SG _
anois , ní mór dó an t-airgead a fháil ar ais .	anois , is mór do an airgead a fáil ar ais .	ADV _ NEG;PRS;V ADJ 3;ADP;MASC;SG DEF;DET;SG DEF;MASC;N;SG PART N;NFIN ADV ADV _
ba i dtithe lucht oibre ba mhó a bhí iarraidh ar liabán agus iasacht airgid , ach bhí go leor eile ag fáil airgid uaidh , fosta .	is i teach lucht obair is mór a bí iarraidh ar liabán agus iasacht airgead , ach bí go leor eile ag fáil airgead ó , fosta .	PST;V ADP MASC;N;PL MASC;N;SG FEM;GEN;INDF;N;SG PART ADJ;{CMPR/RL} PART IND;PST;V FEM;N;SG ADP MASC;N;SG CONJ FEM;N;SG GEN;MASC;N;SG _ CONJ IND;PST;V N;SG N DET ADP N;V.MSDR GEN;MASC;N;SG 3;ADP;MASC;SG _ ADV _
seandúshlán an mhí-áidh a bhí ann .	dúshlán an mí-ádh a bí i .	MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG PART IND;PST;V 3;ADP;MASC;SG _
athraíonn an claochladán an leictreachas ó voltas íseal go voltas ard .	athraigh an claochladán an leictreachas ó voltas íseal go voltas ard .	IND;PRS;V DEF;DET;SG DEF;MASC;N;SG DEF;DET;SG MASC;N;SG ADP MASC;N;SG ADJ;MASC;SG ADP MASC;N;SG ADJ;MASC;SG _
' helena mcmahon , duine a bhfuil baint aici le healaín phobail i luimneach .	' helena mcmahon , duine a bí baint ag le ealaín pobal i luimneach .	_ MASC;PROPN;SG GEN;MASC;PROPN;SG _ MASC;N;SG PART IND;PRS;V FEM;N;SG 3;ADP;FEM;SG ADP FEM;N;SG GEN;MASC;N;SG ADP MASC;PROPN;SG _
' anonn leis de chéim mhall go dtí an bord gur thosaigh a chaint , agus an uile fhocal uaidh ag fuaimniú go glé ar an aer .	' anonn le de céim mall go dtí an bord gur tosaigh a caint , agus an uile focal ó ag fuaimniú go glé ar an aer .	_ ADV 3;ADP;MASC;SG ADP FEM;N;SG ADJ;FEM;SG ADP ADP DEF;DET;SG DEF;MASC;N;SG PART;PST IND;PST;V ADP N;NFIN _ CONJ DEF;DET;SG DET MASC;N;SG 3;ADP;MASC;SG ADP N;V.MSDR PART ADJ ADP DEF;DET;SG GEN;MASC;N;SG _
chomh maith le sin , bhronn teaghlach uí ghallchóir as an bhun bheag corn cuimhneacháin hiúdaí bhig ar an chomórtas .	chomh maith le sin , bronn teaghlach uí gallchóir as an bun beag corn cuimhneachán hiúdaí big ar an comórtas .	ADV ADJ ADP PRO _ IND;PST;V MASC;N;SG PART FEM;GEN;PROPN;SG ADP DEF;DET;SG FEM;N;SG ADJ;FEM;SG MASC;N;SG GEN;MASC;N;SG MASC;N;SG ADJ;MASC;SG ADP DEF;DET;SG MASC;N;SG _
dá bhfeicfeá teaim rua is é ag séideadh na luatha is na sáspain ag éirí ins na spéartha ; an mule ar an mbruach ag croitheadh a chuid cluasa ag faire ag dul chuig an bhféasta .	dá feic teaim rua agus é ag séideadh na luaith agus na sáspan ag éirí i na spéir ; an mule ar an bruach ag croitheadh a cuid cluas ag faire ag dul chuig an féasta .	CONJ 2;COND;SG;V MASC;PROPN;SG ADJ;MASC;SG CONJ 3;MASC;PRO;SG ADP N;V.MSDR DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG CONJ DEF;DET;PL DEF;MASC;N;PL ADP N;V.MSDR ADP;SG DEF;DET;PL DEF;FEM;N;PL _ DEF;DET;SG _ ADP DEF;DET;SG MASC;N;SG ADP N;V.MSDR 3;DET;MASC;SG FEM;N;SG FEM;N;PL ADP N;V.MSDR ADP N;V.MSDR ADP DEF;DET;SG MASC;N;SG _
cineálacha breiseán bia is iad seo na príomhchineálacha breiseán bia : - 1) dathuithe , 2) leasaithigh , 3) antocsaídigh , 4) eiblitheoirí agus cobhsaitheoirí , 5) milsitheoirí , 6) blastáin .	cineál breiseán bia is iad seo na cineál breiseán bia : - 1) dathú , 2) leasaitheach , 3) antocsaídigh , 4) eiblitheoir agus cobhsaitheoir , 5) milsitheoir , 6) blastán .	MASC;N;PL GEN;MASC;N;PL GEN;MASC;N;SG PRS;V 3;PL;PRO PRO DEF;DET;PL DEF;MASC;N;PL GEN;MASC;N;PL GEN;MASC;N;SG _ _ _ MASC;N;PL _ _ MASC;N;PL _ _ MASC;N;PL _ _ FEM;N;PL CONJ MASC;N;PL _ _ FEM;N;PL _ _ MASC;N;PL _
na focail seo a bhí ina bhfochaisí trioblóideacha tráth .	na focal seo a bí i fochais trioblóideach tráth .	DEF;DET;PL DEF;MASC;N;PL DET PART IND;PST;V 3;ADP;PL FEM;N;PL ADJ;PL MASC;N;SG _
riasc beag ag ceann an bhóithrín a mbínn ag déanamh gairdeasa faoi , faoina fhásra bláthanna , faoina fhásra luachra is féir , faoina sheileastram , bhí sé líonta isteach .	riasc beag ag ceann an bóithrín a bí ag déanamh gairdeas faoi , faoi fásra bláth , faoi fásra luachair agus féar , faoi sheileastram , bí sé líonta isteach .	MASC;N;SG ADJ;MASC;SG ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG PART 1;IMP;PST;SG;V ADP N;V.MSDR GEN;MASC;N;SG 3;ADP;MASC;SG _ 3;ADP;MASC;SG MASC;N;SG GEN;MASC;N;PL _ 3;ADP;MASC;SG MASC;N;SG FEM;GEN;N;SG CONJ GEN;MASC;N;SG _ 3;ADP;MASC;SG MASC;N;SG _ IND;PST;V 3;MASC;PRO;SG ADJ;V.PTCP ADV _
an gcuirfeadh sé as dóibh gur tréigeadh an pholasaí neodrachta an gníomh deiridh a dhein siad .	an cuir sé as do gur tréig an polasaí neodracht an gníomh deireadh a déan siad .	PART COND;V 3;MASC;PRO;SG ADP 3;ADP;PL PART;PST IND;PST;V DEF;DET;SG DEF;GEN;MASC;N;SG FEM;GEN;N;SG DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;SG PART IND;PST;V 3;PL;PRO _
duine fíorthuisceanach é ciarán a thug faoi deara go luath buanna chaitlín maude .	duine tuisceanach é ciarán a tabhair faoi deara go luath bua caitlín maude .	MASC;PROPN;SG ADJ;MASC;SG 3;MASC;PRO;SG MASC;PROPN;SG PART IND;PST;V ADP N;SG PART ADJ MASC;N;PL DEF;FEM;PROPN;SG MASC;PROPN;SG _
an teideal atá air ná ' kill me , i love you !	an teideal bí ar ná ' kill me , i love you !	DEF;DET;SG DEF;MASC;N;SG IND;PRS;V 3;ADP;MASC;SG CONJ _ MASC;SG _ _ _ _ _ _
' caidé 'n scéala is deireanaí ón fhronta ?	' cad_é an scéala is deireanach ó fronta ?	_ _ DEF;DET;SG DEF;MASC;N;SG PART ADJ;{CMPR/RL} ADP;SG DEF;MASC;N;SG _
' bhí sásamh bainte amach aici .	' bí sásamh bainte amach ag .	_ IND;PST;V MASC;N;SG ADJ;V.PTCP ADV 3;ADP;FEM;SG _
insíonn an dálach mar a tháinig ann don fhiann , mar a chaith siad saol a bhí uasal ach bruíonach , agus mar a tháinig deireadh uaigneach na féinne de dheasca an uabhair is an díoltais .	inis an dálach mar a tar i do fiann , mar a caith siad saol a bí uasal ach bruíonach , agus mar a tar deireadh uaigneach na fiann de dheasca an uabhar agus an díoltas .	IND;PRS;V DEF;DET;SG N;SG CONJ PART IND;PST;V 3;ADP;MASC;SG ADP;SG FEM;N;SG _ CONJ PART IND;PST;V 3;PL;PRO MASC;N;SG PART IND;PST;V ADJ CONJ ADJ _ CONJ CONJ PART IND;PST;V MASC;N;SG ADJ;MASC;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP ADP DEF;DET;SG GEN;MASC;N;SG CONJ DEF;DET;SG DEF;GEN;MASC;N;SG _
bhain sin preab asainn agus an bheirt againn i ndíg ag faire air .	bain sin preab as agus an beirt ag i díog ag faire ar .	GEN;MASC;PROPN;SG PRO FEM;N;SG 1;ADP;PL CONJ DEF;DET;SG FEM;N;SG 1;ADP;PL ADP DAT;FEM;N;SG ADP N;V.MSDR 3;ADP;MASC;SG _
go háirithe san oíche .	go áirithe i oíche .	PART ADJ ADP;SG FEM;N;SG _
' ach cé leis a dtiocfaidh a rá go bhfuil gaol nó dáimh ag an éirinn sin le héire bhriain is chormaic , éire choinn uí néill ?	' ach cé le a tar a rá go bí gaol nó dáimh ag an éire sin le éire brian agus cormac , éire conn uí néill ?	_ CONJ PRO 3;ADP;MASC;SG PART FUT;IND;V PART N;NFIN PART IND;PRS;V DEF;MASC;N;SG CONJ FEM;N;SG ADP DEF;DET;SG DAT;FEM;PROPN;SG DET ADP FEM;PROPN;SG GEN;MASC;PROPN CONJ GEN;MASC;PROPN _ FEM;PROPN;SG GEN;MASC;PROPN PART MASC;PROPN;SG _
tá an frustrachas , an bhuairt agus an crá ina ndála sa saol .	bí an frustrachas , an buairt agus an crá i dála i saol .	IND;PRS;V DEF;DET;SG MASC;N;SG _ DEF;DET;SG DEF;FEM;N;SG CONJ DEF;DET;SG DEF;MASC;N;SG 3;ADP;PL N;SG ADP;SG DEF;MASC;N;SG _
go han-luath i stair an araltais tháinig riail chun cinn a choiscfeadh dath a chur ar dhath eile , nó miotal ar mhiotal eile .	go luath i stair an araltas tar riail chun ceann a coisc dath a cur ar dath eile , nó miotal ar miotal eile .	PART ADJ ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG IND;PST;V FEM;N;SG ADP GEN;MASC;N;SG PART COND;V MASC;N;SG PART N;NFIN ADP MASC;N;SG DET _ CONJ MASC;N;SG ADP MASC;N;SG DET _
tá sé déanta .	bí sé déanta .	IND;PRS;V 3;MASC;PRO;SG ADJ;V.PTCP _
tá comhaltas ceoltóirí éireann ag cur grúpa ceoltóirí agus damhsóirí go meiriceá thuaidh chun ceolchoirmeacha a thabhairt ar fud na mór-roinne sin ó 9 go 31 deireadh fómhair .	bí comhaltas ceoltóir éire ag cur grúpa ceoltóir agus damhsóir go meiriceá thuaidh chun ceolchoirm a tabhairt ar fud na mór-roinne sin ó 9 go 31 deireadh fómhar .	IND;PRS;V MASC;N;SG GEN;MASC;N;PL FEM;GEN;PROPN;SG ADP N;V.MSDR MASC;N;SG GEN;MASC;N;PL CONJ GEN;MASC;N;PL ADP FEM;PROPN;SG ADV ADP FEM;N;PL PART N;NFIN ADP ADP DEF;DET;PL FEM;N;SG DET ADP NUM ADP NUM MASC;N;SG GEN;MASC;N;SG _
ní raibh sí in acmhainn rud nua ar bith a cheannach le fada an lá .	ní bí sí i acmhainn rud nua ar bith a ceannach le fada an lá .	NEG;PART IND;NEG;PST;V 3;FEM;PRO;SG ADP FEM;N;SG MASC;N;SG ADJ ADP N;SG PART N;NFIN PART ADJ DEF;DET;SG DEF;MASC;N;SG _
sa meathdhorchadas sin d' fhéadas an stáitse a dhéanamh amach ar éigean faoina shoilse fanna néoin .	i dorchadas sin do féad an stáitse a déanamh amach ar éigean faoi solas fann néoin .	ADP;SG MASC;N;SG DET PART IND;PRS;V DEF;DET;SG DEF;MASC;N;SG PART N;NFIN ADV ADP MASC;N;SG 3;ADP;MASC;SG MASC;N;PL ADJ;PL FEM;N;SG _
is teicneolaíocht nua-aimseartha a bhí i gceist aige , priontáil lazer a bhéidh i ndán láimhscríbhinn iomlán a chur ar c.d. is tríd an bhfulaingt a thagtar ar airgeadra na timpeallachta creidimh .	is teicneolaíocht nua-aimseartha a bí i ceist ag , priontáil lazer a bí i dán scríbhinn iomlán a cur ar c.d. is trí an fulaingt a tar ar airgeadra na timpeallacht creideamh .	PRS;V FEM;N;SG ADJ;FEM;SG PART IND;PST;V ADP FEM;N;SG 3;ADP;MASC;SG _ N;NFIN _ PART FUT;IND;V ADP MASC;N;SG FEM;N;SG ADJ;FEM;SG PART N;NFIN ADP _ PRS;V ADP DEF;DET;SG FEM;N;SG PART IND;PRS;V ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG GEN;MASC;N;SG _
an bhfeiceann tú aon eilimintí eile den síscéal ann nach bhfuil luaite thuas ?	an feic tú aon eilimint eile de scéal i nach bí luaite thuas ?	PART IND;PRS;V 2;PRO;SG DET MASC;N;PL DET ADP;SG DEF;MASC;N;SG 3;ADP;MASC;SG NEG;PART IND;PRS;V ADJ;V.PTCP ADV _
' múineadh an oiread sin rudaí dúinn faoi ghnó an cheoil idir liricí , amhráin agus cúrsaí margaíochta , ' a deir moira .	' múin an oiread sin rud do faoi gnó an ceol idir liric , amhrán agus cúrsa margaíochta , ' a abair moira .	_ IND;PST;V DEF;DET;SG N;SG DET MASC;N;PL 1;ADP;PL ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP FEM;N;PL _ MASC;N;PL CONJ MASC;N;PL ADJ;V.PTCP _ _ PART IND;PRS;V FEM;PROPN;SG _
rinne an fear comharthaí agus é ag labhairt ionas go dtuigfí a scéal .	déan an fear comhartha agus é ag labhairt ionas go tuig a scéal .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG MASC;N;PL CONJ 3;MASC;PRO;SG ADP N;V.MSDR N;SG PART COND;V 3;DET;MASC;SG MASC;N;SG _
is í an phríomhchonstaic a bhí ann ná gur eagraíocht ina bhfuil dhá shruth éagsúil ó thaobh comórtais de atá sa chumann - ag cothú cluichí na gclub agus ag riaradh comórtais idirchontae .	is í an constaic a bí i ná is eagraíocht i bí dó sruth éagsúil ó taobh comórtas de bí i cumann - ag cothú cluiche na club agus ag riaradh comórtas contae .	PRS;V 3;FEM;PRO;SG DEF;DET;SG DEF;FEM;N;SG PART IND;PST;V 3;ADP;MASC;SG CONJ PRS;V FEM;N;SG PART IND;PRS;V NUM MASC;N;SG ADJ;MASC;SG ADP MASC;N;SG GEN;MASC;N;SG 3;ADP;MASC;SG IND;PRS;V ADP;SG MASC;N;SG _ ADP N;V.MSDR MASC;N;PL DEF;DET;FEM;GEN;SG GEN;MASC;N;SG CONJ ADP N;V.MSDR GEN;MASC;N;SG GEN;MASC;N;SG _
ba mhaith le smyllie go nglacfadh protastúnaigh páirt chuí sa saol phoiblí .	is maith le smyllie go glac protastúnach páirt cuí i saol poiblí .	PST;V ADJ ADP MASC;PROPN;SG PART COND;V MASC;N;PL FEM;N;SG ADJ ADP;SG MASC;N;SG ADJ _
agus i dtrátha a hocht a chlog chuaigh an taire sláinte bairbre de brún chun tosaigh le labhairt faoin ghalar marfach seif .	agus i dtrátha a ocht an clog téigh an aire sláinte bairbre de brún chun tosach le labhairt faoi galar marfach seif .	CONJ ADP ADP PART NUM DEF;DET;SG MASC;N;SG IND;PST;V DEF;DET;SG DEF;MASC;N;SG FEM;GEN;N;SG FEM;PROPN;SG PART MASC;PROPN;SG ADP GEN;MASC;N;SG ADP N;NFIN ADP;SG MASC;N;SG ADJ;MASC;SG _ _
beidh sí siud eile bailithe léi , ach tusa a bheidh thíos leis an gcúrsa .	bí sí siud eile bailithe le , ach tusa a bí thíos le an cúrsa .	FUT;IND;V 3;FEM;PRO;SG MASC;N;SG DET ADJ;V.PTCP 3;ADP;FEM;SG _ CONJ 2;PRO;SG PART FUT;IND;V ADV ADP DEF;DET;SG MASC;N;SG _
cé go raibh mé idir dhá cheann na meá mar go rabhas ag obair sách crua mar a bhíos , a cheapas ; agus d' aontaigh seán gur mar sin a bhí ach go mba é a dúirt sé arís , go mba ag breathnú roimhe a bhí sé féin agus go mba é seo an t-am an réiteach a dhéanamh ; fad is a bhí duine óg , lúfar .	cé go bí mé idir dó ceann na meá mar go bí ag obair sách crua mar a bí , a ceap ; agus do aontaigh seán is mar sin a bí ach go is é a abair sé arís , go is ag breathnú roimh a bí sé féin agus go is é seo an am an réiteach a déanamh ; fad agus a bí duine óg , lúfar .	CONJ PART IND;PST;V 1;PRO;SG ADP NUM MASC;N;SG DEF;DET;FEM;GEN;SG FEM;N;SG CONJ PART 1;IND;PST;SG;V ADP N;V.MSDR ADV ADJ CONJ PART 1;IND;PST;SG;V _ PART 1;IND;PST;SG;V _ CONJ PART IND;PST;V MASC;PROPN;SG PST;V ADP PRO PART IND;PST;V CONJ CONJ PST;V 3;MASC;PRO;SG PART IND;PST;V 3;MASC;PRO;SG ADV _ CONJ PST;V ADP N;V.MSDR 3;ADP;MASC;SG PART IND;PST;V 3;MASC;PRO;SG PRO;REFL CONJ CONJ PST;V 3;MASC;PRO;SG PRO DEF;DET;SG DEF;MASC;N;SG DEF;DET;SG MASC;N;SG PART N;NFIN _ MASC;N;SG CONJ PART IND;PST;V MASC;N;SG ADJ;MASC;SG _ ADJ;MASC;SG _
iad seo a bhíodh ag magadh faoi , á adhradh atáid anois .	iad seo a bí ag magadh faoi , do adhradh atáid anois .	3;PL;PRO DET PART IMP;PST;V ADP N;V.MSDR 3;ADP;MASC;SG _ 3;ADP;MASC;SG N;NFIN 3;IND;PL;PRS;V ADV _
ba mhaith liom gan fanacht .	is maith le gan fanacht .	PST;V ADJ 1;ADP;SG ADP N;NFIN _
tigh tábhairne agus lóistín atá anois ann .	teach tábhairne agus lóistín bí anois i .	DAT;MASC;N;SG GEN;MASC;N;SG CONJ GEN;MASC;N;SG IND;PRS;V ADV 3;ADP;MASC;SG _
