eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
er _ bloaz 1950 ne chome mui nemet 100 000 a dud na ouient nemet brezhoneg .	e an bloaz 1950 ne chom mui nemet 100 000 a den na gouzout nemet brezhoneg .	ADP DET MASC;N;SG NUM;PL ADV;NEG 3;FIN;IND;PST;SG;V ADV ADV NUM;PL ADP MASC;N;PL NEG;PART 3;FIN;IND;PL;PST;V ADV MASC;N;SG _
ar ger tiriad -se n’ eo ket gwall anavezet c’hoazh .	an ger tiriad se ne bezañ ket gwall anavezout c’hoazh .	DET MASC;N;SG MASC;N;SG ADV ADV;NEG 3;FIN;IND;PRS;SG;V ADV ADV PST;V;V.PTCP ADV _
al linenn reter - kornôg a zarempredo an takadoù annez , implij hag obererezh pennañ .	an linenn reter - kornôg a daremprediñ an takad annez , implij ha obererezh pennañ .	DET FEM;N;SG MASC;N;SG _ MASC;N;SG PART 3;FIN;FUT;IND;SG;V DET MASC;N;PL MASC;N;SG _ MASC;N;SG CONJ MASC;N;SG ADJ _
setu an den a gontas an istor dimp _ .	setu an den a kontañ an istor da indirect .	ADV DET MASC;N;SG PART 3;FIN;PST;SG;V DET MASC;N;SG ADP 1;ACC;PL;PRO _
ur bugel zo ganti i .	un bugel bezañ gant indirect .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V ADP 3;ACC;FEM;PRO;SG _
goulenn a reont ma vo digoret an nor .	goulenn a ober ma bezañ digoriñ an dor .	NFIN;V PART 3;FIN;IND;PL;PRS;V CONJ 3;FIN;FUT;IND;SG;V PST;V;V.PTCP DET FEM;N;SG _
n' honeus ket soñj .	ne kaout ket soñj .	ADV;NEG 1;FIN;IND;PL;PRS;V ADV MASC;N;SG _
kresk an niver ar skolidi , en holl , zo 660 skoliad e-keñver an distro-skol kent .	kresk an niver an skoliad , e holl , bezañ 660 skoliad e-keñver an distro-skol kent .	MASC;N;SG DET MASC;N;SG DET MASC;N;PL _ ADP PL;PRO _ 3;FIN;IND;PRS;SG;V NUM;PL MASC;N;SG ADP DET MASC;N;SG ADJ;SG _
bout a ra 25 skol-uhel imbourc'h pa ne oa hini e 1950 .	bezañ a ober 25 skol-uhel imbourc’h pa ne bezañ hini e 1950 .	NFIN;V PART 3;FIN;IND;PRS;SG;V NUM;PL FEM;N;SG MASC;N;SG CONJ ADV;NEG 3;FIN;IND;PST;SG;V PRO;SG ADP NUM;PL _
galvet e oa pep den .	gelver e bezañ pep den .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V DET;SG MASC;N;SG _
ret eo dezhi _ dont .	ret bezañ da indirect dont .	ADJ 3;FIN;IND;PRS;SG;V ADP 3;ACC;FEM;PRO;SG NFIN;V _
ne zeuint ket .	ne dont ket .	ADV;NEG 3;FIN;FUT;IND;PL;V ADV _
kresk kêr	kresk kêr	MASC;N;SG FEM;N;SG
« ar c'horn azasaet ouzh an dud e kadorioù-ruilh zo aveet gant skrammoù difer evit titouriñ ar veajourien ha dudiañ anezho .	« an korn azasaat ouzh an den e kador-ruilh bezañ aveiñ gant skramm difer evit titouriñ an beajour ha dudiañ direct .	_ DET MASC;N;SG PST;V;V.PTCP ADP DET MASC;N;PL ADP FEM;N;PL 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP MASC;N;PL _ ADP NFIN;V DET MASC;N;PL CONJ NFIN;V 3;ACC;PL;PRO _
debret endeus yann e voued er r wetur .	debriñ kaout yann e boued e an gwetur .	PST;V;V.PTCP 3;FIN;IND;MASC;PRS;SG;V MASC;PROPN;SG DET;PSS MASC;N;SG ADP DET FEM;N;SG _
hag o tont out ?	ha o dont bezañ ?	CONJ PART NFIN;V 2;FIN;IND;PRS;SG;V _
kevredigezh breizh dindan ar renad kozh	kevredigezh breizh dindan an renad kozh	FEM;N;SG PROPN;SG ADP DET MASC;N;SG ADJ
en em walc’hiñ a ran .	en em gwalc’hiñ a ober .	_ PART;REFL NFIN;V PART 1;FIN;IND;PRS;SG;V _
peurliesañ e klot anv ar voest posteloù gant hoc'h anv implijer .	peurliesañ e klotañ anv an boest postel gant ho anv implijer .	ADV PART 3;FIN;IND;PRS;SG;V MASC;N;SG DET FEM;N;SG MASC;N;PL ADP DET MASC;N;SG MASC;N;SG _
ret e vo dibab goude-se .	ret e bezañ dibab goude-se .	ADJ PART 3;FIN;FUT;IND;SG;V NFIN;V ADV _
implijet e vez gant an holl skolioù , degemeret gant an holl skolioù-meur , hag e ya da ober tost an holl levrioù embannet .	implijout e bezañ gant an holl skol , degemer gant an holl skol-meur , ha e mont da ober tost an holl levr embann .	PST;V;V.PTCP PART 3;FIN;HAB;PRS;SG;V ADP DET DET FEM;N;PL _ PST;V;V.PTCP ADP DET DET FEM;N;PL _ CONJ PART 3;FIN;IND;PRS;SG;V ADP NFIN;V ADV DET DET MASC;N;PL PST;V;V.PTCP _
cheñchamantoù bras a vo evidoc h , met ne vint ket graet trumm .	cheñchamant bras a bezañ evit indirect , met ne bezañ ket ober trumm .	MASC;N;PL ADJ PART 3;FIN;FUT;IND;SG;V ADP 2;ACC;PL;PRO _ CONJ ADV;NEG 3;FIN;FUT;IND;PL;V ADV PST;V;V.PTCP ADJ _
laouen eo kêr wened o kinnig deoc h he lec'hienn internet nevez .	laouen bezañ kêr gwened o kinnig da indirect he lec’hienn internet nevez .	ADJ 3;FIN;IND;PRS;SG;V FEM;N;SG PROPN;SG PART NFIN;V ADP 2;ACC;PL;PRO DET;PSS FEM;N;SG MASC;N;SG ADJ _
ar mab a welas ar plac'h yaouank a oa deuet da labourat .	an mab a gwelout an plac’h yaouank a bezañ dont da labourat .	DET MASC;N;SG PART 3;FIN;PST;SG;V DET FEM;N;SG ADJ PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP NFIN;V _
un aotreegezh gant ar meneg yezhoù ha sevenadur rannvro zo kinniget d ar studierien hepken .	un aotreegezh gant an meneg yezh ha sevenadur rannvro bezañ kinnig da an studier hepken .	DET FEM;N;SG ADP DET MASC;N;SG FEM;N;PL CONJ MASC;N;SG FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET MASC;N;PL ADV _
kentelioù war implij ar video a vo kinniget e-pad an eil sizhunvezh .	kentel war implij an video a bezañ kinnig e-pad an eil sizhunvezh .	FEM;N;PL ADP MASC;N;SG DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP DET NUM FEM;N;SG _
gwech ebet n' in da skeiñ war unan n' anavezan ket .	gwech ebet ne mont da skeiñ war unan ne anavezout ket .	_ ADV ADV;NEG 1;FIN;FUT;IND;SG;V ADP NFIN;V ADP NUM;SG ADV;NEG 1;FIN;IND;PRS;SG;V ADV _
brav hedeus lammet .	brav kaout lammat .	ADJ 3;FEM;FIN;IND;PRS;SG;V PST;V;V.PTCP _
me zo o komz gant ma amezeg .	me bezañ o komz gant ma amezeg .	1;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PART NFIN;V ADP DET MASC;N;SG _
en em vodañ a raio pennoù ar sindikadoù adarre hiziv evit gwelet penaos kas ar stourm war-raok .	en em bodañ a ober penn an sindikad adarre hiziv evit gwelout penaos kas an stourm war-raok .	_ PART;REFL NFIN;V PART 3;FIN;FUT;IND;SG;V MASC;N;PL DET MASC;N;PL ADV ADV ADP NFIN;V ADV NFIN;V DET MASC;N;SG ADV _
gwelomp er r sizhun -mañ peseurt strategiezhioù a vez lakaet e-pleustr gant an embregerezhioù bras -se evit mirout al labourerien-douar en o dalc'h .	gwelout e an sizhun mañ peseurt strategiezh a bezañ lakaat e-pleustr gant an embregerezh bras se evit mirout an labourer-douar e o dalc’h .	1;FIN;IND;PL;PRS;V ADP DET FEM;N;SG ADV ADJ FEM;N;PL PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADV ADP DET MASC;N;PL ADJ ADV ADP NFIN;V DET MASC;N;PL ADP DET MASC;N;SG _
n' eur ket aet war-raok .	ne bezañ ket mont war-raok .	ADV;NEG FIN;IND;PL;PRS;V ADV PST;V;V.PTCP ADV _
get an ttb emañ gwened àr-hed teir euriad d'ar muiañ a bariz , gant meur a dren bemdez .	get an ttb bezañ gwened àr-hed tri euriad d’ar muiañ a pariz , gant meur a tren bemdez .	ADP DET MASC;N;SG 3;FIN;IND;PRS;SG;V PROPN;SG ADP FEM;NUM;PL FEM;N;SG _ ADV ADP PROPN;SG _ ADP _ DET;PL MASC;N;SG ADV _
souezhus e vefe eta gwelet ur gall o c'hounit an tournamant er r bloaz -mañ .	souezhus e bezañ eta gwelout un gall o gounit an tournamant e an bloaz mañ .	ADJ PART 3;COND;SG;V ADV NFIN;V DET ADJ PART NFIN;V DET MASC;N;SG ADP DET MASC;N;SG ADV _
liamm diavaez .	liamm diavaez .	MASC;N;SG ADJ _
plijout a rafe deomp _ ober un dro e montroulez .	plijout a ober da indirect ober un tro e montroulez .	NFIN;V PART 3;COND;SG;V ADP 1;ACC;PL;PRO NFIN;V DET FEM;N;SG ADP PROPN;SG _
hemañ a ginnigo un veaj en n amzer war-zu ar bloavezhioù 60 e saloñs ha kegin an daou haroz , bepred prest da ijinañ ur sotoni nevez .	hemañ a kinnig un beaj e an amzer war-zu an bloavezh 60 e saloñs ha kegin an daou haroz , bepred prest da ijinañ un sotoni nevez .	MASC;PRO;SG PART 3;FIN;FUT;IND;SG;V DET FEM;N;SG ADP DET FEM;N;SG ADP DET MASC;N;PL NUM;PL ADP MASC;N;SG CONJ FEM;N;SG DET MASC;NUM;PL MASC;N;SG _ ADV ADJ ADP NFIN;V DET FEM;N;SG ADJ _
studiañ an istor .	studiañ an istor .	NFIN;V DET MASC;N;SG _
dont a rin .	dont a ober .	NFIN;V PART 1;FIN;FUT;IND;SG;V _
mont a ran da c'hoari .	mont a ober da c’hoari .	NFIN;V PART 1;FIN;IND;PRS;SG;V ADP NFIN;V _
daou seurt unaniezh a voe .	daou seurt unaniezh a bezañ .	MASC;NUM;PL MASC;N;SG FEM;N;SG PART 3;FIN;PST;SG;V _
gant redoù an dour pe gant al lanvioù e c'hellont bezañ lakaet da dreiñ .	gant red an dour pe gant an lanv e gellout bezañ lakaat da treiñ .	ADP MASC;N;PL DET MASC;N;SG CONJ ADP DET MASC;N;PL PART 3;FIN;IND;PL;PRS;V NFIN;V PST;V;V.PTCP ADP NFIN;V _
kargoù hollek	karg hollek	FEM;N;PL ADJ
ouzh ar skeudenn e sellan .	ouzh an skeudenn e sellout .	ADP DET FEM;N;SG PART 1;FIN;IND;PRS;SG;V _
en deroù e talveze ar c'henemglev evit an eskemmoù kenwerzhel hag ekonomikel dreist-holl , met tamm-ha-tamm eo bet astennet da dachennoù all .	en deroù e talvezout an kenemglev evit an eskemm kenwerzhel ha ekonomikel dreist-holl , met tamm-ha-tamm bezañ bezañ astenn da tachenn all .	_ ADV PART 3;FIN;IND;PST;SG;V DET MASC;N;SG ADP DET MASC;N;PL ADJ CONJ ADJ ADV _ CONJ ADV 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP FEM;N;PL ADJ _
rodig hag a dro , a ra bro .	rodig ha a treiñ , a ober bro .	MASC;N;SG CONJ PART 3;FIN;IND;PRS;SG;V _ PART 3;FIN;IND;PRS;SG;V FEM;N;SG _
en em vagañ a ra ar vugale .	en em magañ a ober an bugel .	_ PART;REFL NFIN;V PART 3;FIN;IND;PRS;SG;V DET MASC;N;PL _
kavet ezeus bet 4 den marv ha d'an nebeutañ 3 den gloazet .	kavout bezañ bezañ 4 den marv ha d’an nebeutañ 3 den gloazañ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP NUM;PL MASC;N;SG ADJ CONJ _ ADV NUM;PL MASC;N;SG PST;V;V.PTCP _
gant al lodenn all ezeus kaoz eus gouzout tout a-fet mab-den , anvet douaroniezh denel .	gant an lodenn all bezañ kaoz eus gouzout tout a-fet mab-den , envel douaroniezh denel .	ADP DET FEM;N;SG ADJ 3;FIN;IND;PRS;SG;V FEM;N;SG ADP NFIN;V ADJ ADP MASC;N;SG _ PST;V;V.PTCP FEM;N;SG ADJ _
mirit a-gostez .	mirout a-gostez .	2;PL;V ADV _
boazet omp bremañ da welet milinoù - tredan a ya en-dro gant an avel e breizh .	boazañ bezañ bremañ da gwelout milin - tredan a mont en-dro gant an avel e breizh .	PST;V;V.PTCP 1;FIN;IND;PL;PRS;V ADV ADP NFIN;V FEM;N;PL _ MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADV ADP DET MASC;N;SG ADP PROPN;SG _
porzh pont-aven	porzh pont-aven	MASC;N;SG PROPN;SG
skrivet endeus un tregont bennak a levrioù , war ar c’heginañ pe al liorzhañ .	skrivañ kaout un tregont bennak a levr , war an keginañ pe an liorzhañ .	PST;V;V.PTCP 3;FIN;IND;MASC;PRS;SG;V DET NUM;PL ADJ ADP MASC;N;PL _ ADP DET MASC;N;SG CONJ DET MASC;N;SG _
un died zo ganit _ .	un died bezañ gant indirect .	DET FEM;N;SG 3;FIN;IND;PRS;SG;V ADP 2;ACC;PRO;SG _
hemañ a erbed dezhañ _ en em ouestlañ penn-da-benn d al livañ .	hemañ a erbediñ da indirect en em gouestlañ penn-da-benn da an livañ .	MASC;PRO;SG PART 3;FIN;IND;PRS;SG;V ADP 3;ACC;MASC;PRO;SG _ PART;REFL NFIN;V ADV ADP DET NFIN;V _
an holl frammoù a sav kartennoù hetoù ha da gentañ holl evit lidañ ar bloavezh nevez .	an holl framm a sevel kartenn het ha da kentañ holl evit lidañ an bloavezh nevez .	DET DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V FEM;N;PL MASC;N;PL CONJ ADP ADJ PL;PRO ADP NFIN;V DET MASC;N;SG ADJ _
e pariz ho preudeur ne gavint labour ebet .	e pariz ho breur ne kavout labour ebet .	ADP PROPN;SG DET MASC;N;PL ADV;NEG 3;FIN;FUT;IND;PL;V MASC;N;SG ADV _
