това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
фирмите имат и това предимство , че могат да усвоят много по-бързо и много повече нови инвестиции , без да имат административни проблеми от това .	фирма имам и този предимство , че мога да усвоя много бързо и много повече нов инвестиция , без да имам административен проблем от този .	DEF;FEM;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V CONJ DET;NEUT;NOM;SG INDF;N;NEUT;SG _ CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACT;FIN;IND;PFV;PL;PRS;V ADV;INDF;PL ADV;CMPR CONJ ADV;INDF;PL ADV;INDF;PL ADJ;INDF;PL FEM;INDF;N;PL _ ADP V 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;INDF;PL INDF;MASC;N;PL ADP NEUT;NOM;PRO;SG _
а това противоречи на налоговите облекчения , договорени вече с мвф .	а този противореча-(си) на налогов облекчение , договоря-(се) вече с мвф .	CONJ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;DEF;PL INDF;N;NEUT;PL _ ADJ;INDF;PASS;PFV;PL;V.PTCP ADV ADP INDF;MASC;PROPN;SG _
съорганизаторите на световното първенство през 2002 г. ще бъдат домакини и на това състезание , в което ще участват осем национални отбора - мексико , австралия , канада , франция , бразилия , камерун , япония и южна корея .	съорганизатор на световен първенство през 2002 година ще бъда домакин и на този състезание , в който ще участвам осем национален отбор - мексико , австралия , канада , франция , бразилия , камерун , япония и южен корея .	DEF;MASC;N;PL ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG V 3;ACT;FIN;IND;PFV;PL;PRS;V INDF;MASC;N;PL CONJ ADP DET;NEUT;NOM;SG INDF;N;NEUT;SG _ ADP NEUT;NOM;PRO;SG V 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;NUM;PL ADJ;INDF;PL MASC;N _ INDF;NEUT;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG CONJ ADJ;FEM;INDF;SG FEM;INDF;PROPN;SG _
сменена бе и фирмата на предприятието - " нова плама " .	сменя-(се) съм и фирма на предприятие - " нов плама " .	FEM;INDF;PASS;PFV;SG;V;V.PTCP 3;ACT;FIN;IND;IPFV;PST;SG;V CONJ DEF;FEM;N;SG ADP DEF;N;NEUT;SG _ _ ADJ;FEM;INDF;SG FEM;INDF;PROPN;SG _ _
плашат със затваряне 400 000 фирми	плаша-(се) със затваряне четиристотин 000 фирма	3;ACT;FIN;IND;IPFV;PL;PRS;V ADP INDF;N;NEUT;SG INDF;NUM;PL INDF;NUM;PL FEM;INDF;N;PL
магистратите да не се сърдят , позират , хленчат , да не шантажират , че не са разбрани още в самото начало на преговорите с ес , защото ще си направят лоша услуга .	магистрат да не се сърдя-(се) , позирам , хленча , да не шантажирам , че не съм разбера-(се) още в сам начало на преговори с ес , защото ще се направя-(се) лош услуга .	DEF;MASC;N;PL V NEG;PART ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V _ 3;ACT;FIN;IND;IPFV;PL;PRS;V _ 3;ACT;FIN;IND;IPFV;PL;PRS;V _ V NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP ADV ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP DEF;N ADP DEF;MASC;PROPN;SG _ ADV V DAT;PRO;REFL 3;ACT;FIN;IND;PFV;PL;PRS;V ADJ;FEM;INDF;SG FEM;INDF;N;SG _
жоспен и ширак са съперници за президентските избори през 2002 г.	жоспен и ширак съм съперник за президентски избор през 2002 година	INDF;MASC;PROPN;SG CONJ INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;MASC;N;PL ADP ADJ;DEF;PL INDF;MASC;N;PL ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG
ефективността на системата за защита на интелектуалната собственост зависи от масовото разбиране както на тази система , така и на нейните предимства , каза президентът .	ефективност на система за защита на интелектуален собственост завися от масов разбиране както на този система , така и на мой предимство , кажа президент .	DEF;FEM;N;SG ADP DEF;FEM;N;SG ADP N ADP ADJ;DEF;FEM;SG N 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;DEF;NEUT;SG N ADV ADP DET;FEM;NOM;SG N _ ADV CONJ ADP 3;DEF;DET;PL INDF;N;NEUT;PL _ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG _
за разлика от вас ние не си бягаме от отговорността и тези , които ще водят преговорите , ще имат отговорността да договорят тези необходими средства .	за разлика от аз аз не си бягам от отговорност и този , който ще водя преговор , ще имам отговорност да договоря-(се) този необходим средство .	ADP FEM;INDF;N;SG ADP 2;ACC;PL;PRO 1;NOM;PL;PRO NEG;PART DAT;PRO;REFL 1;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;FEM;N;SG CONJ DET;PL _ NOM;PL;PRO V 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;MASC;N;PL _ V 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;FEM;N;SG V 3;ACT;FIN;IND;PFV;PL;PRS;V DET;PL ADJ;INDF;PL INDF;N;NEUT;PL _
никой от пътниците не си признал , че е собственик на златото , чиято стойност е над 22 хил. лв.	никой от пътник не се призная-(се) , че съм собственик на злато , чийто стойност съм над 22 хиляда лев	DET;MASC;NOM;SG ADP DEF;MASC;N;PL NEG;PART DAT;PRO;REFL ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG ADP DEF;N;NEUT;SG _ DET;FEM;SG FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INDF;NUM;PL FEM;INDF;N;PL MASC;N
началото на изложбата започва с книга за посвещения от xv в. , в която има изображение на адам и ева точно когато бог ги изгонва от градините на рая .	начало на изложба започвам-(се) с книга за посвещение от петнадесети в. , в който има изображение на адам и ева точно когато бог аз изгонвам от градина на рай .	DEF;N;NEUT;SG ADP DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INDF;N;SG ADP INDF;N;NEUT;PL ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _ ADP FEM;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;N;NEUT;SG ADP INDF;MASC;PROPN;SG CONJ FEM;INDF;PROPN;SG ADV ADV INDF;MASC;PROPN;SG 3;ACC;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP DEF;FEM;N;PL ADP DEF;MASC;N;SG _
не я разбра , но невероятно омекна .	не аз разбера-(се) , но невероятно омекна .	NEG;PART 3;ACC;FEM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V _ CONJ ADV 3;ACT;FIN;IND;PFV;PST;SG;V _
вадят ни от черния списък на 1 декември	вадя аз от чер списък на първи декември	3;ACT;FIN;IND;IPFV;PL;PRS;V 1;ACC;PL;PRO ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG
мустафа е бил застрелян вчера следобед пред жилището му в прищенския квартал дардания .	мустафа съм съм застрелям вчера следобед пред жилище мой в прищенски квартал дардания .	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IND;INDF;IPFV;MASC;SG;V;V.PTCP INDF;MASC;PASS;PFV;SG;V;V.PTCP ADV ADV ADP DEF;N;NEUT;SG 3;PRO ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG FEM;INDF;PROPN;SG _
не преминавайте трамвайните релси фронтално .	не преминавам трамваен релса фронтално .	NEG;PART 2;FIN;IMP;IPFV;PL;V ADJ;DEF;PL FEM;INDF;N;PL ADV _
то вече липсва и в икономическия и валутния съюз , където тези три държави не възприемат все още общата европейска валута .	аз вече липсвам и в икономически и валутен съюз , където този три държава не възприемам все още общ европейски валута .	3;NEUT;NOM;PRO;SG ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V CONJ ADP ADJ;DEF;MASC;SG CONJ ADJ;DEF;MASC;SG INDF;MASC;N;SG _ ADV DET;PL INDF;NUM;PL FEM;INDF;N;PL NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V ADV ADV ADJ;DEF;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _
нане стоичко се направи на глух .	нане стоичко се направя-(се) на глух .	INDF;MASC;N;SG INDF;MASC;PROPN;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP ADJ;INDF;MASC;SG _
идеята му била в ресторантска обстановка да предложи на здравословно живеещите клиенти бутилирана вода .	идея мой съм в ресторантски обстановка да предложа на здравословно живея клиент бутилирам вода .	DEF;FEM;N;SG 3;PRO ACT;FEM;IND;INDF;IPFV;SG;V;V.PTCP ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V ADP ADV ACT;ADJ;DEF;IPFV;PL;PRS;V.PTCP INDF;MASC;N;PL ADJ;FEM;INDF;PASS;PFV;SG;V.PTCP FEM;INDF;N;SG _
случаите , в които се използва само официалният език , се посочват в закона .	случай , в който се използвам само официален език , се посочвам в закон .	DEF;MASC;N;PL _ ADP NOM;PL;PRO ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADJ;DEF;MASC;SG INDF;MASC;N;SG _ ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;MASC;N;SG _
търся книга , която да й хареса .	търся книга , който да аз харесам-(се) .	1;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG _ FEM;NOM;PRO;SG V 3;DAT;FEM;PRO;SG 3;ACT;FIN;IND;PFV;PRS;SG;V _
амнистираната журналистка ще работи с екипа на редакторката нина спасова .	амнистирам журналистка ще работя с екип на редакторка нина спасова .	ADJ;DEF;FEM;IPFV;PASS;SG;V.PTCP FEM;INDF;N;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP DEF;MASC;N;SG ADP DEF;FEM;N;SG FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _
тук никой не го искаше .	там никой не аз искам .	ADV MASC;NOM;PRO;SG NEG;PART 3;ACC;MASC;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V _
това показват данни от социологическо проучване на агенцията " витоша рисърч " .	този показвам-(се) данна от социологически проучване на агенция " витоша рисърч " .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V FEM;INDF;N;PL ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP DEF;FEM;N;SG _ FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _ _
основни потребители на необичайния парфюм били хора , които напускат страната .	основен потребител на необичаен парфюм съм хора , който напускам страна .	ADJ;INDF;PL INDF;MASC;N;PL ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ACT;IND;INDF;IPFV;PL;V;V.PTCP INDF;N _ NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;FEM;N;SG _
бернанос не би написал това , което вие сте написали по тази тема .	бернанос не съм напиша този , който аз съм напиша по този тема .	INDF;MASC;PROPN;SG NEG;PART 3;COND;FIN;IPFV;PST;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP DET;NEUT;NOM;SG _ NEUT;NOM;PRO;SG 2;NOM;PRO;SG 2;ACT;FIN;IND;IPFV;PL;PRS;V ACT;INDF;PFV;PL;PST;V;V.PTCP ADP DET;FEM;NOM;SG FEM;INDF;N;SG _
все пак завършихме като есенни лидери и това е най-радващото .	все пак завърша като есенен лидер и този съм радвам .	ADV ADV 1;ACT;FIN;IND;PFV;PL;PST;V ADP ADJ;INDF;PL INDF;MASC;N;PL CONJ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;ADJ;DEF;IPFV;NEUT;PRS;RL;SG;V.PTCP _
ще почувстват ли това снижаване хората още от януарските си заплати ?	ще почувствам-(се) ли този снижаване хора още от януарски свой заплата ?	V 3;ACT;FIN;IND;PFV;PL;PRS;V PART DET;NEUT;NOM;SG INDF;N;NEUT;SG DEF;N ADV ADP ADJ;DEF;PL NOM;PRO;REFL FEM;INDF;N;PL _
това е огромно напрежение .	този съм огромен напрежение .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
излез кажи да впрягат конете .	изляза кажа да впрягам-(се) кон .	2;FIN;IMP;PFV;SG;V 2;FIN;IMP;PFV;SG;V V 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;MASC;N;PL _
цената е изключително важен елемент при една сделка .	цена съм изключително важен елемент при един сделка .	DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP DET;FEM;INDF;SG FEM;INDF;N;SG _
майката даде играчка на детето .	майка дам-(се) играчка на дете .	DEF;FEM;N;SG 3;ACT;FIN;IND;PFV;PST;SG;V FEM;INDF;N;SG ADP DEF;N;NEUT;SG _
направените след това изследвания показали , че от количествата , съхранявани за " държавния резерв " , са се стопили 4162 тона морска сол .	направя-(се) след този изследване покажа-(се) , че от количество , съхранявам-(се) за " държавен резерв " , съм се стопя-(се) 4162 тон морски сол .	ADJ;DEF;PASS;PFV;PL;V.PTCP ADP NEUT;NOM;PRO;SG INDF;N;NEUT;PL ACT;INDF;PFV;PL;PST;V;V.PTCP _ CONJ ADP DEF;N;NEUT;PL _ ADJ;INDF;IPFV;PASS;PL;V.PTCP ADP _ ADJ;DEF;MASC;SG INDF;MASC;N;SG _ _ 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;PRO;REFL ACT;INDF;PFV;PL;PST;V;V.PTCP INDF;MASC;NUM;PL MASC;N ADJ;FEM;INDF;SG FEM;INDF;N;SG _
на посочените в " булстат " телефони за връзка отговарят , че такъв човек няма .	на посоча в " булстат " телефон за връзка отговарям , че такъв човек нямам .	ADP ADJ;DEF;PASS;PFV;PL;V.PTCP ADP _ INDF;MASC;PROPN;SG _ INDF;MASC;N;PL ADP FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ DET;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
в лицето на иван иванов аз виждах един голям конкурент и човек , който също заслужава да бъде избран на първо място .	в лице на иван иванов аз виждам-(се) един голям конкурент и човек , който също заслужавам да бъда избера на пръв място .	ADP DEF;N;NEUT;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 1;NOM;PRO;SG 1;ACT;FIN;IND;IPFV;SG;V DET;INDF;MASC;NOM;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG CONJ INDF;MASC;N;SG _ MASC;NOM;PRO;SG ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V INDF;MASC;PASS;PFV;SG;V;V.PTCP ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
един от въпросите , които ще бъдат разгледани , е кой да уважи папската покана .	един от въпрос , който ще бъда разгледам , съм кой да уважа папски покана .	INDF;MASC;NUM;SG ADP DEF;MASC;N;PL _ NOM;PL;PRO V 3;ACT;FIN;IND;PFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP _ 3;ACT;FIN;IND;IPFV;PRS;SG;V MASC;NOM;PRO;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V ADJ;DEF;FEM;SG FEM;INDF;N;SG _
